,0,1,2,3,4,5,6,7,8,9,10,11,12,13,output
0, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White,0, United-States,39,77516,13,2174,0,40,0
1, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White,0, United-States,50,83311,13,0,0,13,0
2, Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family, White,0, United-States,38,215646,9,0,0,40,0
3, Private, 11th, Married-civ-spouse, Handlers-cleaners, Husband, Black,0, United-States,53,234721,7,0,0,40,0
4, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, Black,1, Cuba,28,338409,13,0,0,40,0
5, Private, Masters, Married-civ-spouse, Exec-managerial, Wife, White,1, United-States,37,284582,14,0,0,40,0
6, Private, 9th, Married-spouse-absent, Other-service, Not-in-family, Black,1, Jamaica,49,160187,5,0,0,16,0
7, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White,0, United-States,52,209642,9,0,0,45,1
8, Private, Masters, Never-married, Prof-specialty, Not-in-family, White,1, United-States,31,45781,14,14084,0,50,1
9, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White,0, United-States,42,159449,13,5178,0,40,1
10, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black,0, United-States,37,280464,10,0,0,80,1
11, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander,0, India,30,141297,13,0,0,40,1
12, Private, Bachelors, Never-married, Adm-clerical, Own-child, White,1, United-States,23,122272,13,0,0,30,0
13, Private, Assoc-acdm, Never-married, Sales, Not-in-family, Black,0, United-States,32,205019,12,0,0,50,0
14, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander,0, ?,40,121772,11,0,0,40,1
15, Private, 7th-8th, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo,0, Mexico,34,245487,4,0,0,45,0
16, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Own-child, White,0, United-States,25,176756,9,0,0,35,0
17, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White,0, United-States,32,186824,9,0,0,40,0
18, Private, 11th, Married-civ-spouse, Sales, Husband, White,0, United-States,38,28887,7,0,0,50,0
19, Self-emp-not-inc, Masters, Divorced, Exec-managerial, Unmarried, White,1, United-States,43,292175,14,0,0,45,1
20, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White,0, United-States,40,193524,16,0,0,60,1
21, Private, HS-grad, Separated, Other-service, Unmarried, Black,1, United-States,54,302146,9,0,0,20,0
22, Federal-gov, 9th, Married-civ-spouse, Farming-fishing, Husband, Black,0, United-States,35,76845,5,0,0,40,0
23, Private, 11th, Married-civ-spouse, Transport-moving, Husband, White,0, United-States,43,117037,7,0,2042,40,0
24, Private, HS-grad, Divorced, Tech-support, Unmarried, White,1, United-States,59,109015,9,0,0,40,0
25, Local-gov, Bachelors, Married-civ-spouse, Tech-support, Husband, White,0, United-States,56,216851,13,0,0,40,1
26, Private, HS-grad, Never-married, Craft-repair, Own-child, White,0, United-States,19,168294,9,0,0,40,0
27, ?, Some-college, Married-civ-spouse, ?, Husband, Asian-Pac-Islander,0, South,54,180211,10,0,0,60,1
28, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White,0, United-States,39,367260,9,0,0,80,0
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White,0, United-States,49,193366,9,0,0,40,0
30, Local-gov, Assoc-acdm, Never-married, Protective-serv, Not-in-family, White,0, United-States,23,190709,12,0,0,52,0
31, Private, Some-college, Never-married, Sales, Own-child, Black,0, United-States,20,266015,10,0,0,44,0
32, Private, Bachelors, Divorced, Exec-managerial, Own-child, White,0, United-States,45,386940,13,0,1408,40,0
33, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Own-child, White,0, United-States,30,59951,10,0,0,40,0
34, State-gov, Some-college, Married-civ-spouse, Other-service, Husband, Black,0, United-States,22,311512,10,0,0,15,0
35, Private, 11th, Never-married, Machine-op-inspct, Unmarried, White,0, Puerto-Rico,48,242406,7,0,0,40,0
36, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White,0, United-States,21,197200,10,0,0,40,0
37, Private, HS-grad, Married-AF-spouse, Adm-clerical, Wife, White,1, United-States,19,544091,9,0,0,25,0
38, Private, Some-college, Married-civ-spouse, Sales, Husband, White,0, ?,31,84154,10,0,0,38,1
39, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White,0, United-States,48,265477,12,0,0,40,0
40, Private, 9th, Married-civ-spouse, Machine-op-inspct, Husband, White,0, United-States,31,507875,5,0,0,43,0
41, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White,0, United-States,53,88506,13,0,0,40,0
42, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White,0, United-States,24,172987,13,0,0,50,0
43, Private, HS-grad, Separated, Adm-clerical, Unmarried, White,1, United-States,49,94638,9,0,0,40,0
44, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White,0, United-States,25,289980,9,0,0,35,0
45, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black,0, United-States,57,337895,13,0,0,40,1
46, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White,0, United-States,53,144361,9,0,0,38,0
47, Private, Masters, Divorced, Exec-managerial, Unmarried, White,1, United-States,44,128354,14,0,0,40,0
48, State-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White,0, United-States,41,101603,11,0,0,40,0
49, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White,0, United-States,29,271466,11,0,0,43,0
50, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, Other,1, United-States,25,32275,10,0,0,40,0
51, Private, HS-grad, Never-married, Other-service, Own-child, White,1, ?,18,226956,9,0,0,30,0
52, Private, Prof-school, Married-civ-spouse, Prof-specialty, Wife, White,1, Honduras,47,51835,15,0,1902,60,1
53, Federal-gov, Bachelors, Divorced, Exec-managerial, Not-in-family, White,0, United-States,50,251585,13,0,0,55,1
54, Self-emp-inc, HS-grad, Divorced, Exec-managerial, Not-in-family, White,0, United-States,47,109832,9,0,0,60,0
55, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White,0, United-States,43,237993,10,0,0,40,1
56, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, White,0, Mexico,46,216666,3,0,0,40,0
57, Private, Assoc-voc, Married-civ-spouse, Other-service, Husband, White,0, Puerto-Rico,35,56352,11,0,0,40,0
58, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White,0, United-States,41,147372,9,0,0,48,0
59, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White,0, United-States,30,188146,9,5013,0,40,0
60, Private, Bachelors, Married-civ-spouse, Sales, Husband, White,0, United-States,30,59496,13,2407,0,40,0
61, ?, 7th-8th, Married-spouse-absent, ?, Not-in-family, White,0, ?,32,293936,4,0,0,40,0
62, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White,0, United-States,48,149640,9,0,0,40,0
63, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White,0, United-States,42,116632,16,0,0,45,1
64, Private, Some-college, Divorced, Tech-support, Not-in-family, White,0, United-States,29,105598,10,0,0,58,0
65, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White,0, United-States,36,155537,9,0,0,40,0
66, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White,1, United-States,28,183175,10,0,0,40,0
67, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White,1, United-States,53,169846,9,0,0,40,1
