,0,1,2,3,4,5,output
0,vhigh,vhigh,2,2,small,low,0
1,vhigh,vhigh,2,2,small,med,0
2,vhigh,vhigh,2,2,small,high,0
3,vhigh,vhigh,2,2,med,low,0
4,vhigh,vhigh,2,2,med,med,0
5,vhigh,vhigh,2,2,med,high,0
6,vhigh,vhigh,2,2,big,low,0
7,vhigh,vhigh,2,2,big,med,0
8,vhigh,vhigh,2,2,big,high,0
9,vhigh,vhigh,2,4,small,low,0
10,vhigh,vhigh,2,4,small,med,0
11,vhigh,vhigh,2,4,small,high,0
12,vhigh,vhigh,2,4,med,low,0
13,vhigh,vhigh,2,4,med,med,0
14,vhigh,vhigh,2,4,med,high,0
15,vhigh,vhigh,2,4,big,low,0
16,vhigh,vhigh,2,4,big,med,0
17,vhigh,vhigh,2,4,big,high,0
18,vhigh,vhigh,2,more,small,low,0
19,vhigh,vhigh,2,more,small,med,0
20,vhigh,vhigh,2,more,small,high,0
21,vhigh,vhigh,2,more,med,low,0
22,vhigh,vhigh,2,more,med,med,0
23,vhigh,vhigh,2,more,med,high,0
24,vhigh,vhigh,2,more,big,low,0
25,vhigh,vhigh,2,more,big,med,0
26,vhigh,vhigh,2,more,big,high,0
27,vhigh,vhigh,3,2,small,low,0
28,vhigh,vhigh,3,2,small,med,0
29,vhigh,vhigh,3,2,small,high,0
30,vhigh,vhigh,3,2,med,low,0
31,vhigh,vhigh,3,2,med,med,0
32,vhigh,vhigh,3,2,med,high,0
33,vhigh,vhigh,3,2,big,low,0
34,vhigh,vhigh,3,2,big,med,0
35,vhigh,vhigh,3,2,big,high,0
36,vhigh,vhigh,3,4,small,low,0
37,vhigh,vhigh,3,4,small,med,0
38,vhigh,vhigh,3,4,small,high,0
39,vhigh,vhigh,3,4,med,low,0
40,vhigh,vhigh,3,4,med,med,0
41,vhigh,vhigh,3,4,med,high,0
42,vhigh,vhigh,3,4,big,low,0
43,vhigh,vhigh,3,4,big,med,0
44,vhigh,vhigh,3,4,big,high,0
45,vhigh,vhigh,3,more,small,low,0
46,vhigh,vhigh,3,more,small,med,0
47,vhigh,vhigh,3,more,small,high,0
48,vhigh,vhigh,3,more,med,low,0
49,vhigh,vhigh,3,more,med,med,0
50,vhigh,vhigh,3,more,med,high,0
51,vhigh,vhigh,3,more,big,low,0
52,vhigh,vhigh,3,more,big,med,0
53,vhigh,vhigh,3,more,big,high,0
54,vhigh,vhigh,4,2,small,low,0
55,vhigh,vhigh,4,2,small,med,0
56,vhigh,vhigh,4,2,small,high,0
57,vhigh,vhigh,4,2,med,low,0
58,vhigh,vhigh,4,2,med,med,0
59,vhigh,vhigh,4,2,med,high,0
60,vhigh,vhigh,4,2,big,low,0
61,vhigh,vhigh,4,2,big,med,0
62,vhigh,vhigh,4,2,big,high,0
63,vhigh,vhigh,4,4,small,low,0
64,vhigh,vhigh,4,4,small,med,0
65,vhigh,vhigh,4,4,small,high,0
66,vhigh,vhigh,4,4,med,low,0
