,0,1,2,3,4,5,output
0,a,1,b,3,c,2,0
1,a,1,c,1,c,2,0
2,a,1,c,1,d,1,0
3,a,1,c,1,d,2,0
4,a,1,c,2,c,1,0
5,a,1,c,2,c,3,0
6,a,1,c,2,d,1,0
7,a,1,c,2,d,2,0
8,a,1,c,2,d,3,0
9,a,1,c,3,c,2,0
10,a,1,c,3,d,2,0
11,a,1,c,3,d,3,0
12,a,1,c,3,d,4,0
13,a,1,c,4,d,3,0
14,a,1,d,1,c,1,0
15,a,1,d,1,c,2,0
16,a,1,d,1,d,2,0
17,a,1,d,1,e,1,0
18,a,1,d,1,e,2,0
19,a,1,d,2,c,1,0
20,a,1,d,2,c,2,0
21,a,1,d,2,c,3,0
22,a,1,d,2,d,1,0
23,a,1,d,2,d,3,0
24,a,1,d,2,e,1,0
25,a,1,d,2,e,2,0
26,a,1,d,2,e,3,0
27,a,1,d,3,c,2,0
28,a,1,d,3,c,3,0
29,a,1,d,3,d,2,0
30,a,1,d,3,d,4,0
31,a,1,d,3,e,2,0
32,a,1,d,3,e,3,0
33,a,1,d,3,e,4,0
34,a,1,d,4,c,3,0
35,a,1,d,4,d,3,0
36,a,1,d,4,e,3,0
37,a,1,d,4,e,4,0
38,a,1,d,4,e,5,0
39,a,1,d,5,e,4,0
40,a,1,e,1,d,1,0
41,a,1,e,1,d,2,0
42,a,1,e,1,e,2,0
43,a,1,e,1,f,1,0
44,a,1,e,1,f,2,0
45,a,1,e,2,d,1,0
46,a,1,e,2,d,2,0
47,a,1,e,2,d,3,0
48,a,1,e,2,e,1,0
49,a,1,e,2,e,3,0
50,a,1,e,2,f,1,0
51,a,1,e,2,f,2,0
52,a,1,e,2,f,3,0
53,a,1,e,3,d,2,0
54,a,1,e,3,d,3,0
55,a,1,e,3,d,4,0
56,a,1,e,3,e,2,0
57,a,1,e,3,e,4,0
58,a,1,e,3,f,2,0
59,a,1,e,3,f,3,0
60,a,1,e,3,f,4,0
61,a,1,e,4,d,3,0
62,a,1,e,4,d,4,0
