,0,1,2,3,output
0,1.0,1.0,1.0,3.0,1.0
1,1.0,1.0,2.0,2.0,1.0
2,1.0,2.0,1.0,3.0,1.0
3,1.0,2.0,2.0,1.0,1.0
4,2.0,1.0,1.0,3.0,1.0
5,2.0,1.0,2.0,2.0,1.0
6,2.0,2.0,1.0,3.0,1.0
7,2.0,2.0,2.0,1.0,1.0
8,1.0,1.0,1.0,3.0,2.0
9,1.0,1.0,2.0,2.0,2.0
10,1.0,2.0,1.0,3.0,2.0
11,1.0,2.0,2.0,1.0,2.0
12,2.0,1.0,1.0,3.0,2.0
13,2.0,1.0,2.0,2.0,2.0
14,2.0,2.0,1.0,3.0,2.0
15,2.0,2.0,2.0,3.0,2.0
16,1.0,1.0,1.0,3.0,3.0
17,1.0,1.0,2.0,3.0,3.0
18,1.0,2.0,1.0,3.0,3.0
19,1.0,2.0,2.0,1.0,3.0
20,2.0,1.0,1.0,3.0,3.0
21,2.0,1.0,2.0,2.0,3.0
22,2.0,2.0,1.0,3.0,3.0
23,2.0,2.0,2.0,3.0,3.0
