0,1,2,3_1.0,3_2.0,3_3.0,output
1.0,1.0,1.0,0,0,1,1.0
1.0,1.0,2.0,0,1,0,1.0
1.0,2.0,1.0,0,0,1,1.0
1.0,2.0,2.0,1,0,0,1.0
2.0,1.0,1.0,0,0,1,1.0
2.0,1.0,2.0,0,1,0,1.0
2.0,2.0,1.0,0,0,1,1.0
2.0,2.0,2.0,1,0,0,1.0
1.0,1.0,1.0,0,0,1,2.0
1.0,1.0,2.0,0,1,0,2.0
1.0,2.0,1.0,0,0,1,2.0
1.0,2.0,2.0,1,0,0,2.0
2.0,1.0,1.0,0,0,1,2.0
2.0,1.0,2.0,0,1,0,2.0
2.0,2.0,1.0,0,0,1,2.0
2.0,2.0,2.0,0,0,1,2.0
1.0,1.0,1.0,0,0,1,3.0
1.0,1.0,2.0,0,0,1,3.0
1.0,2.0,1.0,0,0,1,3.0
1.0,2.0,2.0,1,0,0,3.0
2.0,1.0,1.0,0,0,1,3.0
2.0,1.0,2.0,0,1,0,3.0
2.0,2.0,1.0,0,0,1,3.0
2.0,2.0,2.0,0,0,1,3.0
