,0_great_pret,0_pretentious,0_usual,1_critical,1_improper,1_less_proper,1_proper,1_very_crit,2_complete,2_completed,2_foster,2_incomplete,3_1,3_2,3_3,3_more,4_convenient,4_critical,4_less_conv,5,6_nonprob,6_problematic,6_slightly_prob,7_not_recom,7_priority,7_recommended,output
0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,convenient,1,0,0,0,0,1,1
1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,convenient,1,0,0,0,1,0,2
2,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,convenient,1,0,0,1,0,0,0
3,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,convenient,0,0,1,0,0,1,1
4,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,convenient,0,0,1,0,1,0,2
5,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,convenient,0,0,1,1,0,0,0
6,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,convenient,0,1,0,0,0,1,2
7,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,convenient,0,1,0,0,1,0,2
8,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,convenient,0,1,0,1,0,0,0
9,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,inconv,1,0,0,0,0,1,5
10,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,inconv,1,0,0,0,1,0,2
11,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,inconv,1,0,0,1,0,0,0
12,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,inconv,0,0,1,0,0,1,5
13,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,inconv,0,0,1,0,1,0,2
14,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,inconv,0,0,1,1,0,0,0
15,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,inconv,0,1,0,0,0,1,2
16,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,inconv,0,1,0,0,1,0,2
17,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,inconv,0,1,0,1,0,0,0
18,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,convenient,1,0,0,0,0,1,5
19,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,convenient,1,0,0,0,1,0,2
20,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,convenient,1,0,0,1,0,0,0
21,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,convenient,0,0,1,0,0,1,5
22,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,convenient,0,0,1,0,1,0,2
23,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,convenient,0,0,1,1,0,0,0
24,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,convenient,0,1,0,0,0,1,2
25,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,convenient,0,1,0,0,1,0,2
26,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,convenient,0,1,0,1,0,0,0
27,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,inconv,1,0,0,0,0,1,5
28,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,inconv,1,0,0,0,1,0,2
29,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,inconv,1,0,0,1,0,0,0
30,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,inconv,0,0,1,0,0,1,5
31,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,inconv,0,0,1,0,1,0,2
32,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,inconv,0,0,1,1,0,0,0
33,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,inconv,0,1,0,0,0,1,2
34,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,inconv,0,1,0,0,1,0,2
35,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,inconv,0,1,0,1,0,0,0
36,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,convenient,1,0,0,0,0,1,5
37,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,convenient,1,0,0,0,1,0,2
38,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,convenient,1,0,0,1,0,0,0
39,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,convenient,0,0,1,0,0,1,5
40,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,convenient,0,0,1,0,1,0,2
41,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,convenient,0,0,1,1,0,0,0
42,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,convenient,0,1,0,0,0,1,2
43,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,convenient,0,1,0,0,1,0,2
44,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,convenient,0,1,0,1,0,0,0
45,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,inconv,1,0,0,0,0,1,5
46,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,inconv,1,0,0,0,1,0,2
47,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,inconv,1,0,0,1,0,0,0
48,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,inconv,0,0,1,0,0,1,5
49,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,inconv,0,0,1,0,1,0,2
50,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,inconv,0,0,1,1,0,0,0
51,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,inconv,0,1,0,0,0,1,2
52,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,inconv,0,1,0,0,1,0,2
53,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,inconv,0,1,0,1,0,0,0
54,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,convenient,1,0,0,0,0,1,5
55,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,convenient,1,0,0,0,1,0,2
56,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,convenient,1,0,0,1,0,0,0
57,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,convenient,0,0,1,0,0,1,5
58,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,convenient,0,0,1,0,1,0,2
59,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,convenient,0,0,1,1,0,0,0
60,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,convenient,0,1,0,0,0,1,2
61,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,convenient,0,1,0,0,1,0,2
62,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,convenient,0,1,0,1,0,0,0
63,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,inconv,1,0,0,0,0,1,5
64,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,inconv,1,0,0,0,1,0,2
65,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,inconv,1,0,0,1,0,0,0
66,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,inconv,0,0,1,0,0,1,5
67,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,inconv,0,0,1,0,1,0,2
