,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,output
0,A11,A34,A43,A65,A75,A93,A101,A121,A143,A152,A173,0,0,6,1169,4,4,67,2,1,0
1,A12,A32,A43,A61,A73,A92,A101,A121,A143,A152,A173,1,0,48,5951,2,2,22,1,1,1
2,A14,A34,A46,A61,A74,A93,A101,A121,A143,A152,A172,1,0,12,2096,2,3,49,1,2,0
3,A11,A32,A42,A61,A74,A93,A103,A122,A143,A153,A173,1,0,42,7882,2,4,45,1,2,0
4,A11,A33,A40,A61,A73,A93,A101,A124,A143,A153,A173,1,0,24,4870,3,4,53,2,2,1
5,A14,A32,A46,A65,A73,A93,A101,A124,A143,A153,A172,0,0,36,9055,2,4,35,1,2,0
6,A14,A32,A42,A63,A75,A93,A101,A122,A143,A152,A173,1,0,24,2835,3,4,53,1,1,0
7,A12,A32,A41,A61,A73,A93,A101,A123,A143,A151,A174,0,0,36,6948,2,2,35,1,1,0
8,A14,A32,A43,A64,A74,A91,A101,A121,A143,A152,A172,1,0,12,3059,2,4,61,1,1,0
9,A12,A34,A40,A61,A71,A94,A101,A123,A143,A152,A174,1,0,30,5234,4,2,28,2,1,1
10,A12,A32,A40,A61,A72,A92,A101,A123,A143,A151,A173,1,0,12,1295,3,1,25,1,1,1
11,A11,A32,A49,A61,A72,A92,A101,A122,A143,A151,A173,1,0,48,4308,3,4,24,1,1,1
12,A12,A32,A43,A61,A73,A92,A101,A123,A143,A152,A173,0,0,12,1567,1,1,22,1,1,0
13,A11,A34,A40,A61,A75,A93,A101,A123,A143,A152,A172,1,0,24,1199,4,4,60,2,1,1
14,A11,A32,A40,A61,A73,A92,A101,A123,A143,A151,A173,1,0,15,1403,2,4,28,1,1,0
15,A11,A32,A43,A62,A73,A92,A101,A123,A143,A152,A172,1,0,24,1282,4,2,32,1,1,1
16,A14,A34,A43,A65,A75,A93,A101,A122,A143,A152,A173,1,0,24,2424,4,4,53,2,1,0
17,A11,A30,A49,A65,A72,A93,A101,A123,A141,A152,A173,1,0,30,8072,2,3,25,3,1,0
18,A12,A32,A41,A61,A75,A92,A101,A124,A143,A153,A174,0,0,24,12579,4,2,44,1,1,1
19,A14,A32,A43,A63,A75,A93,A101,A123,A143,A152,A173,0,0,24,3430,3,2,31,1,2,0
20,A14,A34,A40,A61,A73,A93,A101,A123,A143,A152,A173,0,0,9,2134,4,4,48,3,1,0
21,A11,A32,A43,A63,A73,A93,A101,A121,A143,A151,A173,1,0,6,2647,2,3,44,1,2,0
22,A11,A34,A40,A61,A72,A93,A101,A121,A143,A151,A172,1,1,10,2241,1,3,48,2,2,0
23,A12,A34,A41,A62,A72,A93,A101,A122,A143,A152,A173,1,0,12,1804,3,4,44,1,1,0
24,A14,A34,A42,A65,A73,A94,A101,A123,A143,A152,A173,1,1,10,2069,2,1,26,2,1,0
25,A11,A32,A42,A61,A73,A93,A101,A121,A141,A152,A172,0,0,6,1374,1,2,36,1,1,0
26,A14,A30,A43,A61,A75,A94,A101,A123,A143,A152,A172,1,0,6,426,4,4,39,1,1,0
27,A13,A31,A43,A64,A73,A92,A101,A121,A143,A151,A173,1,0,12,409,3,3,42,2,1,0
28,A12,A32,A43,A61,A73,A93,A103,A121,A143,A152,A173,1,0,7,2415,3,2,34,1,1,0
29,A11,A33,A49,A61,A75,A93,A101,A124,A143,A152,A173,0,0,60,6836,3,4,63,2,1,1
30,A12,A32,A49,A64,A72,A94,A101,A121,A141,A152,A173,0,0,18,1913,3,3,36,1,1,0
31,A11,A32,A42,A61,A73,A93,A101,A123,A142,A152,A173,1,0,24,4020,2,2,27,1,1,0
32,A12,A32,A40,A62,A73,A93,A101,A123,A143,A152,A173,0,0,18,5866,2,2,30,2,1,0
33,A14,A34,A49,A65,A75,A93,A101,A124,A143,A151,A172,1,0,12,1264,4,4,57,1,1,0
34,A13,A32,A42,A61,A72,A92,A101,A122,A141,A152,A174,0,0,12,1474,4,1,33,1,1,0
35,A12,A34,A43,A61,A72,A93,A101,A122,A143,A152,A172,1,0,45,4746,4,2,25,2,1,1
36,A14,A34,A46,A61,A73,A93,A101,A124,A141,A153,A173,0,0,48,6110,1,3,31,1,1,0
37,A13,A32,A43,A61,A73,A93,A102,A121,A142,A152,A173,1,0,18,2100,4,2,37,1,1,1
38,A13,A32,A44,A61,A73,A93,A101,A123,A143,A152,A173,0,0,10,1225,2,2,37,1,1,0
39,A12,A32,A43,A61,A73,A93,A101,A121,A143,A152,A173,1,0,9,458,4,3,24,1,1,0
40,A14,A32,A43,A63,A75,A93,A101,A123,A141,A152,A174,1,0,30,2333,4,2,30,1,1,0
41,A12,A32,A43,A63,A73,A91,A101,A123,A143,A152,A173,0,0,12,1158,3,1,26,1,1,0
42,A12,A33,A45,A61,A73,A93,A101,A121,A143,A152,A172,0,0,18,6204,2,4,44,1,2,0
43,A11,A34,A41,A62,A74,A94,A101,A123,A143,A151,A173,1,0,30,6187,1,4,24,2,1,0
44,A11,A34,A41,A61,A75,A92,A101,A124,A142,A153,A172,1,0,48,6143,4,4,58,2,1,1
45,A14,A34,A40,A61,A72,A92,A101,A123,A143,A152,A174,1,0,11,1393,4,4,35,2,1,0
46,A14,A32,A43,A63,A75,A93,A101,A123,A143,A152,A173,1,0,36,2299,4,4,39,1,1,0
47,A11,A32,A41,A63,A71,A92,A101,A122,A143,A151,A171,0,0,6,1352,1,2,23,1,1,0
48,A14,A34,A40,A61,A73,A93,A101,A122,A143,A152,A172,1,0,11,7228,1,4,39,2,1,0
49,A14,A32,A43,A62,A73,A92,A102,A121,A143,A152,A173,1,0,12,2073,4,2,28,1,1,0
50,A12,A33,A42,A65,A72,A93,A101,A122,A141,A152,A172,1,0,24,2333,4,2,29,1,1,0
51,A12,A33,A41,A61,A75,A93,A101,A123,A143,A152,A174,0,0,27,5965,1,2,30,2,1,0
52,A14,A32,A43,A61,A73,A93,A101,A123,A143,A152,A173,1,0,12,1262,3,2,25,1,1,0
53,A14,A32,A41,A65,A73,A93,A101,A122,A143,A152,A173,0,0,18,3378,2,1,31,1,1,0
54,A12,A33,A40,A61,A75,A93,A101,A124,A141,A153,A173,0,0,36,2225,4,4,57,2,1,1
55,A14,A31,A40,A65,A73,A93,A103,A121,A142,A152,A172,1,0,6,783,1,2,26,1,2,0
56,A12,A32,A43,A65,A71,A93,A101,A124,A143,A152,A174,0,0,12,6468,2,1,52,1,1,1
57,A14,A34,A43,A61,A73,A92,A101,A123,A142,A152,A173,1,0,36,9566,2,2,31,2,1,0
58,A13,A32,A40,A61,A75,A92,A101,A123,A143,A152,A174,1,0,18,1961,3,2,23,1,1,0
59,A11,A34,A42,A61,A72,A92,A102,A124,A143,A151,A172,0,0,36,6229,4,4,23,2,1,1
60,A12,A32,A49,A61,A73,A94,A101,A121,A141,A152,A173,0,0,9,1391,2,1,27,1,1,0
61,A12,A34,A43,A65,A75,A93,A103,A121,A143,A152,A173,0,0,15,1537,4,4,50,2,1,0
62,A12,A30,A49,A61,A75,A93,A101,A124,A143,A153,A174,0,0,36,1953,4,4,61,1,1,1
63,A12,A30,A49,A61,A73,A93,A101,A123,A143,A152,A173,0,0,48,14421,2,2,25,1,1,1
64,A14,A32,A43,A61,A72,A92,A101,A122,A143,A152,A173,0,0,24,3181,4,4,26,1,1,0
65,A14,A32,A45,A65,A75,A93,A101,A122,A143,A152,A173,0,0,27,5190,4,4,48,4,2,0
66,A14,A32,A43,A61,A72,A92,A101,A123,A141,A152,A173,1,0,12,2171,2,2,29,1,1,0
67,A12,A32,A40,A64,A73,A94,A101,A121,A143,A152,A173,1,0,12,1007,4,1,22,1,1,0
68,A14,A32,A46,A61,A73,A93,A101,A124,A142,A153,A173,0,0,36,1819,4,4,37,1,1,1
69,A14,A32,A43,A65,A73,A92,A101,A123,A143,A152,A173,1,0,36,2394,4,4,25,1,1,0
70,A14,A32,A41,A61,A73,A92,A101,A122,A141,A152,A173,1,0,36,8133,1,2,30,1,1,0
71,A14,A34,A43,A65,A75,A93,A101,A122,A143,A151,A172,0,0,7,730,4,2,46,2,1,0
72,A11,A34,A410,A61,A75,A93,A101,A124,A141,A153,A174,0,0,8,1164,3,4,51,2,2,0
73,A12,A34,A49,A61,A74,A92,A101,A121,A141,A152,A172,1,0,42,5954,2,1,41,2,1,0
74,A11,A32,A46,A65,A75,A93,A101,A124,A143,A152,A174,0,0,36,1977,4,4,40,1,1,1
75,A11,A34,A41,A61,A75,A93,A101,A124,A143,A153,A174,1,0,12,1526,4,4,66,2,1,0
76,A11,A32,A43,A61,A72,A93,A101,A123,A143,A152,A173,1,0,42,3965,4,3,34,1,1,1
77,A12,A33,A43,A61,A74,A93,A101,A122,A143,A152,A173,1,0,11,4771,2,4,51,1,1,0
78,A14,A30,A41,A65,A73,A93,A101,A122,A143,A152,A172,1,0,54,9436,2,2,39,1,2,0
79,A12,A32,A42,A61,A72,A94,A101,A122,A143,A152,A173,1,0,30,3832,2,1,22,1,1,0
80,A14,A32,A43,A65,A72,A92,A101,A123,A143,A152,A173,0,0,24,5943,1,1,44,2,1,1
81,A14,A32,A43,A63,A75,A93,A101,A122,A142,A152,A173,0,0,15,1213,4,3,47,1,1,0
82,A14,A32,A49,A62,A73,A92,A101,A122,A143,A151,A172,1,0,18,1568,3,4,24,1,1,0
83,A11,A32,A410,A61,A75,A92,A103,A121,A143,A152,A172,0,0,24,1755,4,4,58,1,1,0
84,A11,A32,A43,A61,A75,A93,A101,A121,A143,A152,A172,1,0,10,2315,3,4,52,1,1,0
85,A14,A34,A49,A61,A73,A92,A103,A121,A143,A152,A174,0,0,12,1412,4,2,29,2,1,0
86,A12,A34,A42,A61,A72,A92,A101,A122,A143,A152,A173,1,0,18,1295,4,1,27,2,1,0
87,A12,A32,A46,A62,A73,A93,A101,A124,A143,A153,A173,0,0,36,12612,1,4,47,1,2,1
88,A11,A32,A40,A62,A74,A93,A101,A123,A143,A152,A174,0,0,18,2249,4,3,30,1,2,0
89,A11,A30,A45,A61,A74,A93,A101,A121,A143,A152,A173,1,0,12,1108,4,3,28,2,1,1
90,A14,A34,A43,A61,A75,A93,A101,A121,A143,A152,A173,1,0,12,618,4,4,56,1,1,0
91,A11,A34,A41,A61,A75,A93,A101,A121,A143,A152,A173,1,0,12,1409,4,3,54,1,1,0
92,A14,A34,A43,A65,A75,A92,A101,A122,A141,A152,A172,1,0,12,797,4,3,33,1,2,1
93,A13,A34,A42,A65,A75,A93,A102,A124,A143,A151,A173,1,0,24,3617,4,4,20,2,1,0
94,A12,A32,A40,A64,A75,A93,A101,A121,A143,A152,A173,0,0,12,1318,4,4,54,1,1,0
95,A12,A30,A49,A61,A72,A93,A101,A124,A143,A151,A173,0,0,54,15945,3,4,58,1,1,1
