,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,output
0,0,0,0,0,0,at_home,teacher,course,mother,1,0,0,0,1,1,0,0,18,4,4,2,2,0,4,3,4,1,1,3,4,0
1,0,0,0,0,1,at_home,other,course,father,0,1,0,0,0,1,1,0,17,1,1,1,2,0,5,3,3,1,1,3,2,0
2,0,0,0,1,1,at_home,other,other,mother,1,0,0,0,1,1,1,0,15,1,1,1,2,0,4,3,2,2,3,3,6,1
3,0,0,0,0,1,health,services,home,mother,0,1,0,1,1,1,1,1,15,4,2,1,3,0,3,2,2,1,1,5,0,1
4,0,0,0,0,1,other,other,home,father,0,1,0,0,1,1,0,0,16,3,3,1,2,0,4,3,2,1,2,5,0,1
5,0,1,0,1,1,services,other,reputation,mother,0,1,0,1,1,1,1,0,16,4,3,1,2,0,5,4,2,1,2,5,6,1
6,0,1,0,1,1,other,other,home,mother,0,0,0,0,1,1,1,0,16,2,2,1,2,0,4,4,4,1,1,3,0,1
7,0,0,0,0,0,other,teacher,home,mother,1,1,0,0,1,1,0,0,17,4,4,2,2,0,4,1,4,1,1,1,2,1
8,0,1,0,1,0,services,other,home,mother,0,1,0,0,1,1,1,0,15,3,2,1,2,0,4,2,2,1,1,1,0,1
9,0,1,0,0,1,other,other,home,mother,0,1,0,1,1,1,1,0,15,3,4,1,2,0,5,5,1,1,1,5,0,1
10,0,0,0,0,1,teacher,health,reputation,mother,0,1,0,0,1,1,1,0,15,4,4,1,2,0,3,3,3,1,2,2,2,1
11,0,0,0,0,1,services,other,reputation,father,0,1,0,1,1,1,1,0,15,2,1,3,3,0,5,2,2,1,1,4,0,1
12,0,1,0,1,1,health,services,course,father,0,1,0,1,1,1,1,0,15,4,4,1,1,0,4,3,3,1,3,5,0,1
13,0,1,0,0,1,teacher,other,course,mother,0,1,0,0,1,1,1,0,15,4,3,2,2,0,5,4,3,1,2,3,0,1
14,0,1,0,0,0,other,other,home,other,0,1,0,0,1,1,1,1,15,2,2,1,3,0,4,5,2,1,1,3,0,1
15,0,0,0,0,1,health,other,home,mother,0,1,0,0,1,1,1,0,16,4,4,1,1,0,4,4,4,1,2,2,6,1
16,0,0,0,0,1,services,services,reputation,mother,0,1,0,1,1,1,1,0,16,4,4,1,3,0,3,2,3,1,2,2,10,1
17,0,0,0,0,1,other,other,reputation,mother,1,1,0,1,1,1,0,0,16,3,3,3,2,0,5,3,2,1,1,4,2,1
18,0,1,0,0,1,services,services,course,mother,0,1,1,1,1,1,1,0,17,3,2,1,1,3,5,5,5,2,4,5,2,0
19,0,1,0,1,1,health,other,home,father,0,0,0,1,1,1,1,0,16,4,3,1,1,0,3,1,3,1,3,5,6,1
20,0,1,0,0,1,teacher,other,reputation,mother,0,0,0,0,1,1,1,0,15,4,3,1,2,0,4,4,1,1,1,1,0,1
21,0,1,0,0,1,health,health,other,father,0,1,1,0,1,1,1,0,15,4,4,1,1,0,5,4,2,1,1,5,0,1
22,0,1,0,1,1,teacher,other,course,mother,0,0,0,1,1,1,1,0,16,4,2,1,2,0,4,5,1,1,3,5,0,1
23,0,1,0,1,1,other,other,reputation,mother,0,1,0,1,1,1,1,0,16,2,2,2,2,0,5,4,4,2,4,5,2,0
24,0,0,1,0,1,services,health,course,mother,1,1,0,1,1,1,1,0,15,2,4,1,3,0,4,3,2,1,1,5,2,0
25,0,0,0,0,1,services,services,home,mother,0,1,0,0,0,1,1,0,16,2,2,1,1,0,1,2,2,1,3,5,6,1
26,0,1,0,0,1,other,other,home,mother,0,1,0,0,1,1,1,0,15,2,2,1,1,0,4,2,2,1,2,5,8,1
27,0,1,0,0,1,health,services,other,mother,0,0,0,0,1,1,1,0,15,4,2,1,1,0,2,2,4,2,4,1,0,0
28,0,1,0,1,0,services,other,home,mother,1,1,1,1,1,1,1,0,16,3,4,1,2,0,5,3,3,1,1,5,2,1
29,0,1,0,0,1,teacher,teacher,home,mother,0,1,1,1,1,1,1,1,16,4,4,1,2,0,4,4,5,5,5,5,4,1
30,0,1,0,0,1,health,services,home,mother,0,1,1,0,0,1,1,0,15,4,4,1,2,0,5,4,2,3,4,5,0,0
31,0,1,0,0,1,services,services,reputation,mother,0,1,0,1,1,1,1,0,15,4,4,2,2,0,4,3,1,1,1,5,2,1
32,0,1,1,0,1,teacher,at_home,course,mother,0,1,0,1,1,1,1,1,15,4,3,1,2,0,4,5,2,1,1,5,0,1
33,0,1,0,1,1,other,other,course,mother,0,0,0,1,0,1,1,0,15,3,3,1,2,0,5,3,2,1,1,2,0,1
34,0,1,0,0,1,other,other,home,mother,0,1,0,0,0,1,1,0,16,3,2,1,1,0,5,4,3,1,1,5,4,1
35,0,0,0,0,1,other,other,other,father,0,1,0,1,1,1,0,0,15,2,3,2,1,0,3,5,1,1,1,5,4,0
36,0,1,0,1,1,teacher,services,home,mother,0,1,0,1,1,1,1,0,15,4,3,1,3,0,5,4,3,1,1,4,0,1
37,0,1,1,0,0,other,teacher,reputation,mother,0,1,0,1,1,1,1,1,16,4,4,2,3,0,2,4,3,1,1,5,4,1
38,0,0,1,0,1,services,health,course,mother,1,1,0,1,1,1,1,0,15,3,4,1,3,0,4,3,2,1,1,5,2,1
39,0,0,1,0,1,at_home,other,reputation,mother,1,1,0,1,1,1,0,0,15,2,2,1,1,0,4,3,1,1,1,2,8,1
40,0,0,0,1,1,other,other,home,mother,0,1,0,1,0,1,1,1,16,2,2,2,2,0,3,3,3,1,2,3,16,0
41,0,1,0,1,1,teacher,other,home,other,0,1,0,0,0,1,1,1,15,4,4,1,1,0,5,4,3,2,4,5,8,0
42,0,1,0,0,1,services,teacher,course,father,0,1,0,1,1,1,1,0,15,4,4,1,2,0,4,3,3,1,1,5,0,1
43,0,1,0,0,1,services,services,course,father,1,1,0,0,1,1,1,0,15,2,2,1,1,0,5,4,1,1,1,1,0,0
44,0,0,0,1,1,other,at_home,course,father,1,0,0,1,1,1,1,0,16,2,2,2,2,1,4,3,3,2,2,5,14,0
45,0,0,0,1,0,other,other,course,mother,1,1,1,1,1,1,1,1,15,4,3,1,2,0,5,2,2,1,1,5,4,0
46,0,0,0,1,0,other,services,home,mother,0,1,0,0,1,1,1,0,16,3,3,1,2,0,2,3,5,1,4,3,6,1
47,0,1,0,0,1,health,services,reputation,mother,0,0,0,1,1,1,1,0,16,4,3,1,4,0,4,2,2,1,1,2,2,1
48,0,1,0,0,1,teacher,other,home,mother,0,1,0,0,1,1,0,0,15,4,2,1,2,0,4,3,3,2,2,5,4,1
49,0,0,0,0,1,services,teacher,other,father,1,1,0,1,0,1,1,0,15,4,4,1,2,0,4,4,4,1,1,3,2,1
50,0,0,0,1,1,services,services,course,mother,0,1,0,0,1,1,1,0,16,2,2,3,2,0,4,3,3,2,3,4,0,1
51,0,0,0,1,1,health,other,other,mother,0,1,0,0,1,1,1,0,15,4,2,1,2,0,4,3,3,1,1,5,0,1
52,0,1,0,1,0,health,health,other,father,0,0,0,0,1,1,0,0,15,4,2,2,1,0,5,5,5,3,4,5,4,0
53,0,0,0,0,1,services,services,course,mother,1,1,0,0,1,1,1,0,15,4,4,1,1,0,3,3,4,2,3,5,0,1
54,0,0,0,1,0,other,other,other,mother,0,0,0,0,1,1,1,0,15,3,3,1,1,0,5,3,4,4,4,1,0,1
55,0,0,0,0,0,other,other,other,mother,0,0,0,1,1,1,1,1,16,2,1,1,2,0,5,3,4,1,1,2,2,1
56,0,0,0,0,0,services,services,reputation,mother,0,1,0,1,1,1,1,0,15,4,3,1,2,0,4,3,2,1,1,1,0,1
57,0,1,0,0,1,teacher,health,reputation,mother,0,1,0,1,1,1,0,0,15,4,4,1,2,0,3,2,2,1,1,5,8,1
58,0,1,0,1,1,other,at_home,home,father,1,1,0,1,1,1,1,0,15,1,2,1,2,0,4,3,2,1,1,5,0,1
59,0,0,0,0,1,services,other,course,mother,0,1,1,0,1,1,1,0,16,4,2,1,2,0,4,2,3,1,1,5,2,1
60,0,0,1,0,1,health,teacher,other,mother,0,1,0,1,1,1,0,0,16,4,4,1,2,0,2,4,4,2,3,4,0,1
61,0,0,0,0,1,services,services,course,father,1,1,0,1,0,1,1,1,16,1,1,4,1,0,5,5,5,5,5,5,0,1
62,0,0,0,1,1,other,services,reputation,father,1,0,0,1,1,1,1,0,16,1,2,1,2,0,4,4,3,1,1,1,0,0
63,0,0,0,0,1,teacher,health,home,mother,1,1,0,1,1,1,1,0,16,4,3,1,3,0,3,4,4,2,4,4,0,1
64,0,0,0,1,1,services,services,reputation,father,1,0,0,1,1,1,1,1,15,4,3,1,2,0,4,4,4,2,4,2,0,1
65,0,0,0,1,1,teacher,services,course,mother,0,1,0,1,1,1,1,0,16,4,3,3,2,0,5,4,3,1,2,1,2,1
66,0,1,0,0,0,other,services,reputation,mother,0,1,0,1,0,1,1,1,15,4,4,1,4,0,1,3,3,5,5,3,0,1
67,0,0,0,0,1,services,other,course,mother,1,1,0,0,1,1,1,0,16,3,1,1,4,0,4,3,3,1,2,5,0,0
68,0,0,1,1,1,health,services,reputation,mother,1,1,0,0,1,1,1,0,15,2,2,2,2,0,4,1,3,1,3,4,0,0
69,0,0,1,1,1,other,other,reputation,father,0,1,0,0,0,1,1,0,15,3,1,2,4,0,4,4,2,2,3,3,6,1
70,0,1,0,0,1,other,other,reputation,father,0,1,0,0,1,1,1,0,16,3,1,2,4,0,4,3,2,1,1,5,2,0
