0,1,2,3,4,5
5.84,45.46,26.54864,38.71,4.22,1
7.63,46.74,35.66262,33.62,2.58,0
8.13,46.47,37.78011,32.99,2.66,0
2.22,21.69,4.815180000000001,30.13,-1.41,0
8.51,20.77,17.67527,32.34,-2.5,1
0.61,43.18,2.63398,39.05,3.46,1
7.85,43.04,33.7864,33.85,2.83,0
9.63,47.74,45.973620000000004,35.7,0.5,1
5.72,35.22,20.14584,39.04,-0.53,0
5.53,39.26,21.71078,31.16,1.86,1
2.48,32.07,7.953360000000001,38.43,-2.24,0
9.58,40.02,38.33916000000001,32.65,0.68,1
4.92,29.0,14.268,37.98,-2.22,0
1.67,41.66,6.9572199999999995,37.97,0.75,0
1.7,40.19,6.832299999999999,35.39,0.2,0
0.61,43.11,2.62971,37.31,2.45,1
4.87,28.74,13.996379999999998,39.99,-4.41,0
0.97,41.07,3.98379,34.06,0.51,0
8.46,33.47,28.315620000000003,33.33,0.78,0
9.17,44.18,40.51306,34.53,0.3,1
2.4,34.05,8.171999999999999,31.66,3.8,0
3.42,31.44,10.75248,39.16,-2.38,0
1.05,25.2,2.646,38.01,-0.42,0
5.53,43.6,24.110800000000005,38.66,0.63,0
1.61,45.94,7.39634,38.84,2.28,1
7.53,46.28,34.84884,31.79,2.03,1
7.29,47.2,34.4088,37.36,3.64,1
0.95,27.66,2.6277,36.12,-0.13,0
9.04,36.42,32.92368,38.5,-0.94,1
0.88,27.17,2.39096,35.25,-3.64,1
0.6,21.11,1.2666,39.46,-4.57,1
9.67,26.73,25.847910000000002,32.8,-3.09,0
3.89,48.7,18.944300000000002,34.78,4.0,0
5.7,24.48,13.9536,39.12,-2.71,1
4.47,28.23,12.61881,30.53,-1.03,0
5.39,25.48,13.73372,34.88,-4.77,1
4.28,44.72,19.14016,37.78,3.66,0
8.95,22.17,19.84215,34.47,-2.46,1
2.88,42.4,12.2112,36.49,3.51,0
5.49,46.04,25.27596,32.13,0.94,1
3.96,23.15,9.167399999999999,39.7,-3.52,0
3.02,33.63,10.15626,31.43,3.44,0
0.93,42.25,3.9292500000000006,36.02,4.23,1
1.17,43.35,5.071949999999999,34.73,1.25,0
5.65,36.13,20.413450000000005,39.87,-4.25,0
0.51,29.84,1.52184,32.35,-2.07,0
8.62,28.84,24.860079999999996,35.07,-2.21,1
