0,1,2,3
49.97,37.63,1.88,0
28.75,30.99,-3.49,0
33.1,37.11,-4.81,0
39.15,35.97,0.28,0
33.07,37.4,-2.36,1
25.04,35.86,-4.78,0
23.27,37.76,-3.3,0
41.49,36.52,2.95,1
41.77,34.07,2.23,1
32.3,38.67,-3.68,0
36.57,35.94,1.1,0
37.59,33.38,1.99,1
25.04,35.67,-1.21,1
27.97,39.02,-1.66,1
49.22,36.21,2.54,1
30.8,36.42,-3.44,0
42.91,34.71,2.03,1
42.4,39.77,0.04,0
35.32,37.03,-2.4,0
22.01,37.9,-0.96,1
29.94,37.63,-3.56,0
39.58,38.67,2.43,1
49.94,30.9,2.78,1
30.86,32.5,-4.39,0
20.24,38.25,-3.29,0
24.1,35.77,-0.96,1
26.71,30.26,-3.09,0
34.74,34.42,2.51,0
29.9,32.22,-0.98,0
25.88,37.06,-3.62,0
44.72,37.15,2.46,1
28.71,38.05,-3.5,0
25.45,32.15,-2.9,0
36.58,32.96,1.33,1
21.63,31.9,-4.45,0
42.96,39.43,0.69,0
33.19,32.45,3.91,0
26.71,38.35,-2.03,1
38.84,33.85,3.17,1
44.31,36.68,0.96,0
30.57,31.69,-2.25,0
39.39,39.4,-1.22,0
45.47,39.55,3.64,1
26.53,32.29,-3.7,0
41.91,38.88,1.74,0
46.69,31.44,0.24,1
25.59,32.44,-3.52,0
27.46,30.22,-2.95,0
23.84,32.57,-3.53,0
20.0,30.66,-2.17,0
45.26,31.93,1.17,1
27.17,35.28,-1.43,1
32.01,31.41,1.09,0
32.16,35.06,-3.38,0
22.89,36.19,-3.03,0
41.51,31.52,4.56,1
44.9,30.09,4.1,1
47.55,34.94,1.7,1
33.15,38.82,-0.44,1
33.44,38.62,-1.38,1
48.26,33.5,0.65,1
35.93,30.58,4.69,1
38.12,33.31,2.24,1
43.28,37.06,3.12,1
45.49,30.71,1.04,1
42.57,39.82,1.14,0
25.09,30.3,-0.02,0
49.35,38.52,2.02,1
31.64,32.51,-1.1,0
47.58,31.58,0.95,1
37.71,36.4,3.72,1
26.16,39.35,-0.66,1
40.18,34.6,2.4,1
39.12,32.23,1.05,1
23.08,34.24,-4.54,0
49.73,35.18,3.59,1
21.38,39.77,-2.04,1
36.45,39.5,-1.53,0
49.9,34.89,0.15,1
38.14,30.03,1.07,1
42.87,33.7,0.27,1
29.75,33.87,-4.09,0
21.41,33.43,-3.15,0
