0,1,2
549.87,288.93,0
588.78,772.36,1
364.63,8.51,0
994.58,209.26,0
915.06,553.92,0
445.97,364.21,0
203.79,282.21,1
441.18,133.96,0
121.56,497.97,1
126.76,470.52,1
450.82,791.31,1
346.71,56.95,0
956.47,602.17,0
702.84,163.61,0
496.15,103.28,0
723.57,384.27,0
823.97,810.7,0
474.0,756.74,1
252.03,923.49,1
91.16,60.06,0
866.73,298.71,0
379.3,104.58,0
305.12,132.38,0
498.23,364.34,0
594.29,833.2,1
478.19,213.19,0
485.2,465.66,0
274.6,878.41,1
349.93,919.88,1
895.93,849.39,0
93.58,798.4,1
832.27,224.31,0
700.1,955.68,1
320.87,214.17,0
605.89,497.35,0
353.82,838.86,1
901.98,730.0,0
287.85,897.33,1
425.04,73.31,0
300.21,42.07,0
413.47,525.81,1
350.93,86.75,0
276.53,743.41,1
940.98,412.45,0
278.69,859.09,1
654.35,518.56,0
842.59,601.42,0
187.26,347.18,1
183.01,323.25,1
976.47,735.79,0
706.44,344.38,0
979.12,766.22,0
561.55,764.84,1
523.5,474.47,0
287.46,181.31,0
667.84,646.86,0
119.15,990.61,1
61.75,143.71,1
200.33,822.4,1
209.69,891.92,1
553.33,781.72,1
83.26,504.32,1
500.19,781.04,1
613.48,693.52,1
329.53,725.12,1
15.04,891.66,1
944.66,150.14,0
893.53,703.81,0
984.19,349.73,0
840.12,445.87,0
146.21,384.69,1
569.85,207.3,0
594.7,4.25,0
946.46,943.29,0
345.22,656.12,1
998.71,234.16,0
665.42,139.47,0
819.59,391.17,0
837.48,665.4,0
798.18,260.71,0
200.32,490.09,1
999.43,211.74,0
706.97,695.14,0
0.74,785.04,1
424.87,640.42,1
25.52,146.62,1
475.76,403.06,0
313.85,75.92,0
315.71,743.64,1
103.22,112.26,1
959.32,636.99,0
90.71,996.93,1
698.22,164.83,0
168.28,864.74,1
622.96,720.63,1
216.43,347.41,1
691.63,795.07,1
554.61,277.6,0
706.86,989.94,1
956.73,904.22,0
263.65,934.47,1
408.57,522.96,1
880.39,851.8,0
489.44,574.22,1
678.39,591.77,0
158.6,324.93,1
294.51,83.92,0
443.13,27.57,0
771.1,726.03,0
301.61,771.28,1
288.64,9.42,0
93.05,927.78,1
827.19,77.16,0
300.07,88.34,0
41.17,433.09,1
92.87,673.91,1
311.95,365.0,1
876.84,636.24,0
280.8,706.78,1
173.42,948.11,1
748.47,755.25,1
619.53,318.5,0
619.93,533.54,0
249.57,123.63,0
127.04,863.74,1
564.98,464.38,0
555.19,538.83,0
612.13,955.61,1
71.0,882.59,1
856.49,846.96,0
128.99,79.44,0
527.72,954.48,1
444.73,143.22,0
325.91,251.12,0
249.31,702.92,1
588.0,183.73,0
552.96,240.5,0
365.09,606.37,1
327.42,98.8,0
580.82,721.32,1
128.33,66.3,0
854.77,708.55,0
19.34,122.24,1
987.71,309.82,0
217.98,532.69,1
636.53,630.92,0
280.16,525.65,1
76.85,215.79,1
496.72,2.82,0
511.73,347.6,0
596.38,373.88,0
554.44,913.03,1
957.48,728.45,0
867.52,941.63,1
637.88,202.89,0
248.9,388.9,1
285.34,76.65,0
759.14,964.34,1
710.66,79.89,0
980.38,411.04,0
74.92,65.72,0
765.69,624.93,0
659.09,696.15,1
206.35,74.55,0
665.62,105.0,0
243.56,89.81,0
779.92,89.07,0
885.01,308.28,0
529.23,157.13,0
746.68,322.71,0
758.8,779.24,1
52.09,811.83,1
107.45,549.48,1
861.63,765.03,0
740.85,685.22,0
414.67,341.79,0
267.72,877.82,1
938.72,411.8,0
312.85,348.14,1
518.76,171.54,0
880.39,846.07,0
393.21,599.29,1
414.41,985.48,1
95.08,12.2,0
600.68,814.16,1
737.92,131.04,0
96.02,704.68,1
279.38,663.07,1
347.6,173.61,0
457.45,90.16,0
320.18,484.34,1
373.53,206.76,0
574.33,712.0,1
922.14,396.51,0
801.73,857.17,1
693.29,10.25,0
875.38,726.92,0
392.4,869.51,1
135.77,176.01,1
346.64,151.29,0
140.29,973.1,1
725.12,203.74,0
356.97,369.3,1
792.76,276.07,0
940.58,449.42,0
266.85,901.11,1
831.3,346.0,0
662.44,640.32,0
329.14,66.58,0
120.97,831.36,1
555.18,362.65,0
57.78,4.64,0
437.19,171.46,0
835.07,343.35,0
211.78,971.54,1
579.12,723.09,1
924.93,560.57,0
735.19,12.67,0
146.63,98.62,0
905.73,195.36,0
715.11,47.22,0
483.93,763.5,1
724.2,194.1,0
563.33,167.04,0
54.82,404.04,1
477.95,52.29,0
468.98,275.35,0
893.99,327.06,0
874.16,134.73,0
463.57,733.85,1
532.64,813.51,1
982.35,202.57,0
310.29,212.99,0
232.06,540.4,1
32.48,235.09,1
965.42,435.4,0
539.64,878.06,1
963.45,325.27,0
349.7,208.66,0
919.17,141.68,0
501.4,50.75,0
616.94,291.54,0
261.58,603.32,1
458.3,400.01,0
298.31,292.19,0
31.01,865.11,1
253.13,522.27,1
430.25,365.17,0
90.99,365.85,1
460.25,840.8,1
667.68,523.86,0
890.65,702.82,0
434.04,36.17,0
151.18,342.37,1
234.05,760.99,1
347.95,50.14,0
142.08,781.93,1
569.59,453.09,0
954.91,411.14,0
571.99,794.57,1
670.33,151.57,0
504.88,755.74,1
249.14,333.86,1
58.17,929.01,1
571.54,2.21,0
681.46,705.75,1
900.27,942.97,1
972.48,966.05,0
879.0,258.25,0
477.39,565.31,1
91.71,870.62,1
432.79,816.78,1
411.45,869.51,1
163.34,943.39,1
393.63,664.69,1
405.38,874.1,1
535.28,427.53,0
527.43,913.84,1
387.52,726.67,1
166.83,251.44,1
551.08,871.53,1
496.95,887.77,1
980.59,228.1,0
806.76,745.93,0
394.46,532.25,1
718.19,0.53,0
398.29,376.06,0
275.49,563.46,1
760.19,795.16,1
858.13,422.37,0
609.46,579.05,0
579.54,885.55,1
280.1,670.0,1
620.21,964.63,1
222.41,863.56,1
111.14,371.96,1
675.61,870.12,1
829.6,811.67,0
439.33,122.4,0
984.53,307.84,0
881.84,406.87,0
294.44,261.0,0
193.13,32.01,0
60.57,320.92,1
622.77,801.2,1
95.45,596.92,1
543.21,825.44,1
754.54,254.85,0
941.55,912.72,0
503.28,647.99,1
523.83,319.79,0
193.42,859.9,1
901.28,7.26,0
984.3,139.7,0
557.24,286.83,0
230.53,912.14,1
678.89,608.89,0
65.82,730.6,1
326.62,159.06,0
598.29,174.77,0
609.01,875.0,1
696.16,732.59,1
780.47,415.88,0
989.92,580.08,0
803.01,942.76,1
661.62,559.33,0
718.1,584.46,0
208.61,974.72,1
622.16,589.91,0
339.72,985.36,1
324.06,835.79,1
363.47,683.27,1
635.17,821.49,1
313.58,359.92,1
576.54,101.55,0
935.25,374.5,0
307.35,356.14,1
440.2,419.04,0
707.98,105.61,0
181.36,197.69,1
303.11,502.05,1
909.57,200.28,0
925.91,280.43,0
84.18,543.77,1
534.24,433.69,0
711.21,610.69,0
544.96,81.61,0
271.1,550.69,1
510.49,765.56,1
911.63,25.6,0
754.56,498.57,0
625.18,7.72,0
461.05,391.39,0
987.59,511.16,0
549.21,705.45,1
979.78,962.89,0
715.82,790.69,1
289.06,639.93,1
287.6,357.74,1
571.25,636.54,1
38.04,509.68,1
440.57,876.7,1
890.16,529.94,0
949.19,216.32,0
612.61,167.28,0
815.6,700.08,0
35.34,516.45,1
775.8,739.75,0
869.0,35.52,0
110.03,842.46,1
561.79,177.86,0
605.15,238.19,0
65.9,340.99,1
496.89,429.06,0
277.42,595.98,1
428.4,442.36,1
997.75,496.92,0
364.71,985.67,1
552.55,330.65,0
107.35,616.44,1
25.4,981.76,1
707.02,68.26,0
458.7,293.89,0
852.15,89.93,0
854.26,52.76,0
988.58,40.67,0
324.11,261.3,0
26.71,814.39,1
199.73,312.66,1
165.44,620.7,1
877.47,149.93,0
739.2,285.69,0
609.52,916.8,1
335.86,483.51,1
219.92,794.15,1
795.93,980.32,1
941.56,150.12,0
214.65,407.68,1
141.68,758.49,1
33.65,408.88,1
754.7,887.81,1
491.92,519.9,1
937.18,259.95,0
99.61,776.07,1
905.2,822.13,0
318.3,133.56,0
913.82,395.29,0
896.87,786.97,0
158.66,741.77,1
53.83,455.08,1
698.27,561.48,0
867.06,485.71,0
90.38,663.17,1
848.74,447.25,0
16.58,550.57,1
642.51,138.33,0
568.22,474.72,0
833.07,602.58,0
927.08,200.52,0
570.8,230.86,0
961.8,683.86,0
852.56,354.0,0
807.28,705.39,0
633.72,609.31,0
570.91,958.17,1
776.56,351.79,0
422.45,321.77,0
113.59,365.59,1
590.87,319.63,0
983.66,609.1,0
746.91,799.97,1
875.8,496.74,0
440.92,37.61,0
647.89,426.0,0
238.34,639.04,1
278.02,465.07,1
338.62,446.08,1
366.55,781.39,1
919.05,362.11,0
728.48,13.3,0
677.15,250.42,0
112.21,316.35,1
943.81,532.71,0
640.38,727.68,1
993.74,314.99,0
905.19,624.02,0
846.59,933.02,1
643.32,587.43,0
22.6,121.96,1
385.66,290.45,0
530.05,906.73,1
318.9,401.35,1
870.26,762.25,0
483.68,620.31,1
725.44,695.88,0
450.56,557.71,1
977.71,721.4,0
433.57,461.12,1
921.24,594.73,0
355.09,401.89,1
329.51,302.17,0
158.14,945.4,1
252.42,413.59,1
156.7,973.7,1
702.36,999.01,1
904.61,242.67,0
251.05,283.61,1
968.1,634.64,0
362.41,949.72,1
772.78,996.41,1
687.65,782.22,1
370.93,131.76,0
254.43,388.29,1
298.16,473.01,1
235.19,396.18,1
18.54,928.01,1
700.1,165.91,0
359.54,59.65,0
71.46,725.29,1
382.9,914.11,1
165.51,836.06,1
986.69,643.4,0
134.46,16.07,0
752.43,372.68,0
615.24,627.46,1
577.33,446.57,0
241.64,67.34,0
330.92,626.16,1
149.53,85.64,0
525.21,644.54,1
97.1,756.31,1
825.02,899.74,1
70.26,198.87,1
195.55,737.72,1
398.24,111.64,0
325.3,155.25,0
731.47,545.48,0
794.71,781.35,0
810.57,295.81,0
684.94,498.56,0
590.49,580.28,0
389.74,771.39,1
562.07,400.26,0
745.31,813.99,1
78.94,799.05,1
970.04,130.06,0
999.73,272.35,0
819.87,276.59,0
346.87,865.63,1
106.41,205.85,1
314.39,227.82,0
723.5,98.38,0
205.17,3.5,0
535.45,590.48,1
903.57,778.32,0
615.92,381.75,0
42.78,303.4,1
377.62,926.62,1
370.56,921.41,1
595.1,93.29,0
900.96,305.95,0
346.75,819.27,1
773.04,866.62,1
259.28,557.23,1
150.43,713.76,1
294.66,848.86,1
195.28,348.16,1
186.43,93.59,0
78.16,217.47,1
403.19,779.93,1
981.67,746.07,0
378.28,575.6,1
162.99,614.33,1
902.66,398.57,0
917.15,527.57,0
356.83,655.97,1
707.76,647.22,0
573.77,105.43,0
783.85,52.24,0
566.26,962.76,1
422.47,791.29,1
328.16,33.9,0
119.7,300.05,1
883.81,753.92,0
769.55,27.19,0
881.17,353.25,0
755.29,52.73,0
991.25,229.62,0
616.69,680.21,1
853.94,579.63,0
364.58,237.88,0
767.2,571.32,0
832.02,644.51,0
119.59,616.05,1
456.07,535.23,1
436.87,420.81,0
878.35,137.1,0
210.79,432.28,1
539.55,909.21,1
649.42,377.77,0
868.46,524.88,0
996.8,721.02,0
48.09,596.14,1
115.42,412.24,1
330.82,423.72,1
151.94,529.76,1
674.49,1.5,0
862.0,711.18,0
605.52,541.65,0
71.04,245.86,1
679.52,474.19,0
816.09,991.48,1
653.38,819.73,1
579.39,996.13,1
67.64,266.8,1
350.03,719.87,1
171.72,377.52,1
574.24,915.21,1
635.32,159.15,0
37.83,825.78,1
798.06,313.65,0
930.32,207.58,0
407.3,721.99,1
17.92,723.84,1
534.76,122.17,0
294.51,148.71,0
604.82,153.96,0
848.96,201.81,0
653.23,939.26,1
382.54,666.98,1
924.59,358.38,0
544.59,632.42,1
618.94,319.46,0
598.71,722.55,1
189.58,502.77,1
249.83,785.61,1
666.16,978.18,1
178.92,91.5,0
362.08,543.87,1
445.48,665.5,1
350.18,3.36,0
370.72,951.64,1
391.32,769.31,1
760.11,864.99,1
641.78,194.76,0
585.29,705.92,1
634.83,452.36,0
435.73,723.4,1
999.91,712.28,0
494.41,596.82,1
421.76,247.27,0
914.22,313.0,0
749.46,501.96,0
306.13,538.41,1
57.2,417.04,1
976.09,619.93,0
924.35,499.68,0
506.04,869.91,1
854.61,199.36,0
649.23,48.52,0
165.47,658.36,1
773.56,435.15,0
131.54,577.11,1
130.69,689.37,1
598.9,20.11,0
946.92,188.94,0
537.36,858.23,1
202.32,98.07,0
615.37,347.37,0
443.75,816.91,1
907.94,520.98,0
851.75,105.27,0
430.65,883.89,1
699.42,498.08,0
415.05,821.55,1
942.03,995.36,1
639.56,709.12,1
47.05,809.31,1
89.68,307.71,1
827.27,897.05,1
376.67,298.17,0
978.8,118.46,0
568.81,129.03,0
996.63,830.66,0
922.6,131.73,0
581.53,218.05,0
909.64,392.51,0
37.94,60.28,1
425.16,73.55,0
384.52,469.84,1
491.31,564.5,1
190.8,320.07,1
696.21,540.08,0
741.77,893.64,1
236.0,222.8,0
229.46,103.5,0
798.87,501.4,0
812.26,895.39,1
315.66,652.3,1
764.35,187.58,0
304.33,604.43,1
836.11,332.89,0
602.36,334.66,0
874.04,12.31,0
609.81,377.0,0
888.15,716.43,0
207.06,96.81,0
578.98,452.93,0
770.14,392.1,0
837.46,556.15,0
904.8,327.8,0
