0,1,2,3
28.97,11.47,37.43,1
22.47,1.6,16.57,0
17.09,20.97,-24.15,0
30.6,1.94,26.37,1
35.03,31.33,26.69,1
45.72,45.88,-16.34,0
17.62,41.21,-36.06,0
22.45,8.76,6.1,0
19.92,13.15,26.67,0
39.3,48.58,-38.5,0
3.77,31.96,-39.9,0
20.47,22.95,-49.71,0
48.02,30.73,4.86,1
8.31,4.6,28.08,0
22.62,44.07,-30.27,0
35.9,23.29,9.1,1
38.66,11.01,6.07,1
26.59,33.9,-12.44,0
12.33,48.32,-24.49,1
47.03,16.39,46.03,1
7.21,35.91,-20.09,1
26.86,46.92,-44.78,0
21.36,45.61,-43.51,0
23.88,1.8,11.51,0
5.58,25.72,-29.6,0
36.53,17.6,15.09,1
26.32,38.37,-18.66,0
37.75,29.68,27.29,1
16.31,21.22,-20.92,0
49.45,1.9,11.5,1
9.77,33.66,-35.01,0
32.47,39.85,-3.94,0
43.29,4.94,41.97,1
30.6,1.33,46.35,1
35.82,2.63,41.31,1
26.8,44.14,-40.31,0
23.16,47.09,-27.35,0
5.5,6.19,-46.31,0
7.55,45.74,-9.21,1
43.57,12.97,42.07,1
7.19,47.02,-38.38,0
49.98,15.64,5.99,1
35.31,22.69,38.16,1
36.97,12.47,27.07,1
5.99,14.89,-47.13,0
27.84,37.2,-43.24,0
35.43,1.76,32.89,1
47.09,24.07,0.53,1
31.95,1.55,0.7,1
18.46,26.41,-35.0,0
12.33,21.21,-18.26,0
47.88,26.76,43.62,1
37.5,16.42,47.06,1
29.06,47.26,-12.51,0
15.48,12.15,16.89,0
25.28,14.88,8.27,1
2.15,43.7,-49.31,0
3.24,10.44,-44.25,0
28.56,5.68,26.83,1
25.84,18.86,17.11,1
16.53,24.82,-13.38,0
34.76,22.21,19.09,1
17.8,29.11,-2.24,1
11.25,36.02,-10.09,1
30.73,2.09,36.37,1
17.09,31.17,-4.04,1
36.61,35.93,32.71,1
16.28,16.85,-31.18,0
48.36,10.22,7.61,1
14.35,41.51,-47.38,0
42.32,9.97,13.35,1
17.18,9.86,40.07,0
49.55,29.36,25.96,1
34.01,15.65,17.24,1
7.44,41.53,-29.48,0
39.16,20.92,41.68,1
9.18,37.44,-1.33,1
0.6,31.14,-34.41,0
32.8,8.2,29.06,1
29.53,25.4,5.35,1
35.57,24.64,18.79,1
6.92,31.93,-38.62,0
1.3,22.51,-26.49,0
3.72,11.53,-20.4,0
14.53,46.26,-0.76,1
10.49,42.49,-12.76,1
11.49,38.49,-3.2,1
5.02,48.85,-17.19,1
24.01,30.45,-33.99,0
12.91,34.35,-14.13,1
14.31,42.49,-12.41,1
14.88,29.91,-8.97,1
13.31,2.46,40.76,0
16.72,25.08,-33.07,0
30.58,21.73,26.31,1
2.34,2.12,27.17,0
2.34,38.55,-2.81,1
11.83,33.4,-3.81,1
44.2,30.89,49.03,1
43.03,13.91,12.96,1
8.21,1.23,28.57,0
18.25,7.55,34.4,0
5.44,9.21,-38.97,0
38.05,34.01,43.97,1
36.08,11.02,49.42,1
0.06,25.52,-39.02,0
38.47,21.05,10.51,1
26.46,44.24,-29.95,0
7.9,39.15,-40.38,0
46.8,16.08,10.31,1
17.97,42.17,-10.64,1
11.69,18.48,-6.74,0
7.77,33.09,-23.13,1
8.63,20.47,-18.54,0
20.54,15.13,24.67,0
26.93,37.86,-48.4,0
42.6,42.35,47.29,1
21.86,10.79,26.87,0
34.58,30.71,11.9,1
47.47,2.81,31.55,1
3.94,16.22,-14.93,0
1.18,11.72,-2.8,0
19.49,13.27,32.51,0
26.43,0.96,46.87,1
39.39,39.64,-28.18,0
15.39,47.29,-33.24,0
37.04,17.6,37.13,1
21.53,44.72,-36.04,0
9.66,22.89,-42.15,0
27.64,27.63,15.27,1
20.92,27.94,-39.93,0
44.97,37.39,7.91,1
28.05,42.53,-21.54,0
5.18,29.94,-34.95,0
2.09,44.51,-10.35,1
7.75,18.61,-37.48,0
9.11,9.86,-45.1,0
24.23,10.35,28.48,0
25.16,37.08,-35.74,0
45.33,6.8,41.35,1
14.96,32.57,-41.86,0
15.97,11.61,18.18,0
1.37,16.28,-29.0,0
43.06,49.23,-12.44,0
46.12,43.47,43.02,1
3.85,43.68,-29.71,0
44.2,18.88,43.49,1
13.67,30.68,-13.01,1
8.21,13.57,-18.54,0
12.46,44.31,-49.95,0
34.74,16.57,22.81,1
4.01,32.84,-24.29,1
31.94,42.75,-34.51,0
39.04,38.34,26.38,1
11.16,24.58,-0.03,0
6.14,20.59,-45.53,0
25.53,17.11,48.66,1
5.48,4.86,33.62,0
11.5,11.78,-39.4,0
13.13,19.87,-32.06,0
13.07,34.33,-32.04,0
48.45,15.85,20.37,1
28.71,5.78,18.54,1
22.63,11.51,32.89,0
10.12,48.0,-12.44,1
16.87,36.33,-11.67,1
22.57,26.83,-0.89,1
9.61,42.65,-25.5,0
42.95,8.41,49.03,1
38.6,19.03,35.91,1
24.48,10.23,44.34,0
49.98,37.23,12.59,1
5.77,27.97,-22.3,1
3.36,31.26,-20.93,1
9.25,38.22,-34.9,0
47.93,13.8,39.92,1
23.85,18.41,42.84,0
8.45,7.26,49.43,0
49.08,29.71,19.77,1
40.52,35.43,34.55,1
4.65,8.62,-22.96,0
22.6,20.62,41.61,0
