,0,1,2,3,4,5,6,7,8,output
114,x,o,x,x,x,o,o,o,x,0
805,o,o,x,x,o,x,b,x,o,0
806,o,o,x,x,o,b,x,x,o,0
644,x,x,o,o,o,o,x,b,x,0
836,o,o,o,b,x,x,x,o,x,0
730,x,b,o,b,o,x,o,x,b,0
835,o,o,o,b,x,x,x,x,o,0
752,o,x,x,o,x,b,o,o,x,0
723,x,b,o,x,o,b,o,x,b,0
819,o,o,o,x,x,b,b,b,x,0
772,o,x,x,b,o,b,x,b,o,0
672,x,o,x,x,x,b,o,o,o,0
874,o,b,b,o,x,x,o,x,b,0
692,x,o,o,x,o,x,o,b,x,0
906,b,x,o,b,o,b,o,x,x,0
942,x,x,o,o,x,x,x,o,o,0
940,b,b,o,b,x,o,x,x,o,0
636,x,x,o,x,o,b,o,b,b,0
734,x,b,b,x,x,b,o,o,o,0
720,x,b,o,x,o,x,o,o,x,0
719,x,b,o,x,o,x,o,x,o,0
803,o,o,x,x,o,x,x,o,b,0
921,b,o,o,x,x,o,x,x,o,0
918,b,o,x,x,o,b,b,o,x,0
722,x,b,o,x,o,o,o,x,x,0
864,o,b,x,b,o,x,x,b,o,0
845,o,o,o,b,b,x,x,b,x,0
955,o,x,o,x,o,x,x,o,x,0
668,x,x,b,o,o,o,b,x,b,0
773,o,x,x,b,o,b,b,x,o,0
858,o,b,x,o,x,o,o,x,x,0
727,x,b,o,o,o,x,o,x,x,0
809,o,o,x,o,x,b,o,x,x,0
781,o,x,o,x,b,o,x,x,o,0
681,x,o,x,o,o,o,x,b,x,0
802,o,x,b,b,o,b,x,x,o,0
689,x,o,x,b,o,b,b,o,x,0
718,x,b,o,x,x,o,b,b,o,0
849,o,o,b,o,x,x,o,x,x,0
629,x,x,o,x,o,x,o,o,b,0
876,o,b,b,o,x,b,o,x,x,0
913,b,x,b,b,x,x,o,o,o,0
947,x,o,x,x,o,o,o,x,x,0
851,o,b,x,x,o,x,o,x,o,0
834,o,o,o,o,x,x,b,x,x,0
829,o,o,o,x,b,b,x,x,b,0
763,o,x,x,o,b,x,o,b,b,0
699,x,o,b,x,o,x,b,o,b,0
823,o,o,o,x,b,x,x,x,o,0
682,x,o,x,o,o,o,b,x,x,0
656,x,x,o,b,o,b,o,x,b,0
750,o,x,x,o,x,x,o,b,o,0
854,o,b,x,x,o,b,x,b,o,0
645,x,x,o,o,o,o,b,x,x,0
892,b,x,o,x,x,o,b,b,o,0
657,x,x,o,b,o,b,o,b,x,0
801,o,x,b,b,o,x,b,x,o,0
820,o,o,o,x,o,x,x,x,b,0
904,b,x,o,b,o,x,o,x,b,0
735,x,b,b,x,b,x,o,o,o,0
922,b,o,o,x,o,x,x,o,x,0
650,x,x,o,b,x,o,b,b,o,0
916,b,o,x,x,o,o,x,o,x,0
897,b,x,o,x,o,o,o,x,x,0
771,o,x,x,b,o,o,x,x,o,0
941,b,b,o,b,o,x,o,x,x,0
631,x,x,o,x,o,o,o,x,b,0
716,x,b,x,b,b,x,o,o,o,0
926,b,o,b,x,o,b,x,o,x,0
633,x,x,o,x,o,o,b,x,o,0
848,o,o,b,x,o,x,x,o,x,0
758,o,x,x,o,o,o,x,b,x,0
909,b,x,b,x,b,x,o,o,o,0
852,o,b,x,x,o,x,b,b,o,0
811,o,o,o,x,x,o,x,x,b,0
886,b,x,x,o,o,o,o,x,x,0
866,o,b,x,b,o,b,x,x,o,0
791,o,x,b,x,o,b,b,x,o,0
794,o,x,b,o,x,b,o,b,x,0
334,o,x,o,o,o,x,x,x,x,0
744,o,x,x,x,o,o,b,x,o,0
698,x,o,b,x,o,x,o,o,x,0
703,x,o,b,b,o,x,b,o,x,0
737,x,b,b,o,o,o,x,b,x,0
685,x,o,x,b,o,x,x,o,o,0
769,o,x,x,b,o,x,o,x,o,0
789,o,x,b,x,o,o,x,x,o,0
825,o,o,o,x,b,x,x,b,b,0
671,x,x,b,b,b,x,o,o,o,0
884,b,x,x,o,o,o,x,o,x,0
742,o,x,x,x,o,x,b,o,o,0
632,x,x,o,x,o,o,o,b,x,0
707,x,b,x,x,b,b,o,o,o,0
708,x,b,x,o,x,x,o,o,o,0
888,b,x,x,o,o,o,b,b,x,0
683,x,o,x,o,o,b,x,o,x,0
651,x,x,o,b,o,x,o,x,o,0
705,x,b,x,x,x,o,o,o,o,0
793,o,x,b,o,x,x,o,b,b,0
822,o,o,o,x,o,x,b,x,x,0
