,0,1,2,3,output
185,2,3,3,1,0
402,4,2,1,3,0
207,2,4,2,3,0
115,1,5,4,1,0
325,3,4,1,1,0
454,4,4,1,5,0
311,3,3,3,2,0
220,2,4,5,1,0
520,5,1,5,1,0
614,5,5,3,5,0
406,4,2,2,2,0
600,5,5,1,1,0
240,2,5,4,1,0
241,2,5,4,2,0
236,2,5,3,2,0
558,5,3,2,4,0
75,1,4,1,1,0
205,2,4,2,1,0
237,2,5,3,3,0
484,4,5,2,5,0
233,2,5,2,4,0
620,5,5,5,1,0
622,5,5,5,3,0
459,4,4,2,5,0
432,4,3,2,3,0
330,3,4,2,1,0
561,5,3,3,2,0
285,3,2,3,1,0
464,4,4,3,5,0
51,1,3,1,2,0
312,3,3,3,3,0
350,3,5,1,1,0
504,5,1,1,5,0
433,4,3,2,4,0
567,5,3,4,3,0
528,5,2,1,4,0
251,3,1,1,2,0
30,1,2,2,1,0
611,5,5,3,2,0
480,4,5,2,1,0
179,2,3,1,5,0
435,4,3,3,1,0
234,2,5,2,5,0
478,4,5,1,4,0
357,3,5,2,3,0
153,2,2,1,4,0
372,3,5,5,3,0
425,4,3,1,1,0
537,5,2,3,3,0
565,5,3,4,1,0
617,5,5,4,3,0
303,3,3,1,4,0
431,4,3,2,2,0
182,2,3,2,3,0
316,3,3,4,2,0
591,5,4,4,2,0
603,5,5,1,4,0
586,5,4,3,2,0
546,5,2,5,2,0
429,4,3,1,5,0
466,4,4,4,2,0
90,1,4,4,1,0
315,3,3,4,1,0
530,5,2,2,1,0
55,1,3,2,1,0
615,5,5,4,1,0
279,3,2,1,5,0
587,5,4,3,3,0
49,1,2,5,5,1
221,2,4,5,2,1
469,4,4,4,5,1
46,1,2,5,2,1
267,3,1,4,3,1
10,1,1,3,1,1
53,1,3,1,4,1
257,3,1,2,3,1
94,1,4,4,5,1
292,3,2,4,3,1
379,4,1,1,5,1
37,1,2,3,3,1
146,2,1,5,2,1
544,5,2,4,5,1
65,1,3,4,1,1
348,3,4,5,4,1
6,1,1,2,2,1
383,4,1,2,4,1
398,4,1,5,4,1
92,1,4,4,3,1
516,5,1,4,2,1
108,1,5,2,4,1
143,2,1,4,4,1
574,5,3,5,5,1
89,1,4,3,5,1
439,4,3,3,5,1
188,2,3,3,4,1
197,2,3,5,3,1
141,2,1,4,2,1
69,1,3,4,5,1
131,2,1,2,2,1
271,3,1,5,2,1
217,2,4,4,3,1
397,4,1,5,3,1
269,3,1,4,5,1
249,2,5,5,5,1
392,4,1,4,3,1
192,2,3,4,3,1
309,3,3,2,5,1
147,2,1,5,3,1
244,2,5,4,5,1
448,4,3,5,4,1
218,2,4,4,4,1
170,2,2,5,1,1
34,1,2,2,5,1
23,1,1,5,4,1
27,1,2,1,3,1
222,2,4,5,3,1
193,2,3,4,4,1
248,2,5,5,4,1
409,4,2,2,5,1
447,4,3,5,3,1
124,1,5,5,5,1
319,3,3,4,5,1
258,3,1,2,4,1
265,3,1,4,1,1
542,5,2,4,3,1
7,1,1,2,3,1
