,0_1,0_2,0_3,0_4,0_5,1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,2_4,2_5,3_1,3_2,3_3,3_4,3_5,output
306,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
220,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
478,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
358,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
100,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
572,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
491,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
520,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
241,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
607,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
115,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
205,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
611,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
510,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
230,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
311,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
362,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
581,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
105,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
316,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
617,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
380,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
372,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
290,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
90,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
467,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
609,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
465,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
361,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
435,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
546,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
505,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
537,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
458,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
227,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
586,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
450,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
504,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
415,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
429,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
530,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
481,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
30,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
51,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
150,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
452,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
402,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
431,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
620,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
207,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
459,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
52,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
366,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
250,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
336,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
102,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
488,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
355,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
430,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
381,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
295,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
233,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
255,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
282,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
236,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
536,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
85,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
42,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
439,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
