,0,1,2,3,4,5,output
1660,low,low,3,4,med,med,0
427,vhigh,low,5more,more,med,med,0
1319,low,vhigh,2,more,med,high,0
1510,low,high,5more,more,big,med,0
1495,low,high,5more,4,small,med,0
713,high,med,4,4,small,high,0
1468,low,high,4,4,small,med,0
1019,med,high,3,more,small,high,0
1022,med,high,3,more,med,high,0
859,high,low,5more,more,med,med,0
889,med,vhigh,2,more,big,med,0
1453,low,high,3,more,med,med,0
1429,low,high,2,more,big,med,0
1691,low,low,4,4,big,high,0
1186,med,med,5more,more,big,med,0
1588,low,med,4,more,med,med,0
284,vhigh,med,4,4,med,high,0
259,vhigh,med,3,4,big,med,0
614,high,high,4,more,small,high,0
565,high,high,2,more,big,med,0
1345,low,vhigh,3,more,med,med,0
1067,med,high,5more,4,med,high,0
808,high,low,3,more,big,med,0
1718,low,low,5more,4,big,high,0
1015,med,high,3,4,big,med,0
1583,low,med,4,4,big,high,0
1576,low,med,4,4,small,med,0
1643,low,low,2,more,med,high,0
1712,low,low,5more,4,small,high,0
800,high,low,3,4,big,high,0
341,vhigh,low,2,4,big,high,0
1210,med,low,2,more,med,med,0
1414,low,high,2,4,small,med,0
1723,low,low,5more,more,med,med,0
1667,low,low,3,more,small,high,0
1069,med,high,5more,4,big,med,0
1229,med,low,3,4,med,high,0
1144,med,med,4,4,small,med,0
1721,low,low,5more,more,small,high,0
1343,low,vhigh,3,more,small,high,0
1664,low,low,3,4,big,high,0
578,high,high,3,4,small,high,0
851,high,low,5more,4,med,high,0
554,high,high,2,4,med,high,0
551,high,high,2,4,small,high,0
751,high,med,5more,more,med,med,0
430,vhigh,low,5more,more,big,med,0
563,high,high,2,more,med,high,0
1420,low,high,2,4,big,med,0
745,high,med,5more,4,big,med,0
1697,low,low,4,more,med,high,0
1198,med,low,2,4,small,med,0
292,vhigh,med,4,more,med,med,0
1717,low,low,5more,4,big,med,0
637,high,high,5more,4,big,med,0
1025,med,high,3,more,big,high,0
589,high,high,3,more,med,med,0
314,vhigh,med,5more,4,big,high,0
566,high,high,2,more,big,high,0
887,med,vhigh,2,more,med,high,0
860,high,low,5more,more,med,high,0
1280,med,low,5more,4,small,high,0
320,vhigh,med,5more,more,med,high,0
913,med,vhigh,3,more,med,med,0
1367,low,vhigh,4,4,big,high,0
1148,med,med,4,4,med,high,0
1172,med,med,5more,4,small,high,0
1663,low,low,3,4,big,med,0
227,vhigh,med,2,4,small,high,0
1700,low,low,4,more,big,high,0
1204,med,low,2,4,big,med,0
608,high,high,4,4,med,high,0
1390,low,vhigh,5more,4,med,med,0
691,high,med,3,4,big,med,0
394,vhigh,low,4,4,big,med,0
1610,low,med,5more,4,big,high,0
1685,low,low,4,4,small,high,0
943,med,vhigh,4,more,big,med,0
232,vhigh,med,2,4,big,med,0
1375,low,vhigh,4,more,big,med,0
1265,med,low,4,more,med,high,0
428,vhigh,low,5more,more,med,high,0
1448,low,high,3,4,big,high,0
853,high,low,5more,4,big,med,0
1619,low,med,5more,more,big,high,0
1073,med,high,5more,more,small,high,0
1477,low,high,4,more,small,med,0
727,high,med,4,more,big,med,0
1555,low,med,3,4,big,med,0
584,high,high,3,4,big,high,0
242,vhigh,med,2,more,big,high,0
1397,low,vhigh,5more,more,small,high,0
368,vhigh,low,3,4,big,high,0
1658,low,low,3,4,small,high,0
1529,low,med,2,4,big,high,0
1613,low,med,5more,more,small,high,0
725,high,med,4,more,med,high,0
917,med,vhigh,3,more,big,high,0
643,high,high,5more,more,med,med,0
263,vhigh,med,3,more,small,high,0
