,0_high,0_low,0_med,0_vhigh,1_high,1_low,1_med,1_vhigh,2_2,2_3,2_4,2_5more,3_2,3_4,3_more,4_big,4_med,4_small,5_high,5_low,5_med,output
1532,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1
837,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1
1385,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1
1236,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1
1200,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1
1152,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1
1220,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1
621,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1
412,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1
627,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1
636,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1
83,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1
129,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
780,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1
380,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1
1219,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1
694,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1
649,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1
661,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1
1185,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1
569,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1
138,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1
1266,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1
141,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1
666,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1
466,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1
453,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1
139,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1
1668,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1
1111,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1
224,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
379,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1
300,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1
1244,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1
874,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1
1635,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1
497,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1
1302,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1
776,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1
849,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1
978,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1
787,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1
1336,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1
383,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1
1034,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
895,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1
353,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1
1488,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1
1329,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1
346,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1
39,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1
30,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1
249,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1
519,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1
136,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1
1350,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1
