,0,1,2,3,4,5,output
15906,d,2,h,1,b,8,1
18051,c,1,d,6,a,6,1
15370,d,1,e,8,f,5,1
25633,a,1,b,7,g,6,1
23943,c,2,f,7,f,4,1
14298,c,2,b,5,g,8,1
11304,c,2,f,6,h,8,1
16055,d,3,a,6,b,4,1
24413,d,1,b,4,f,8,1
6060,d,3,c,5,h,4,1
13272,a,1,h,4,h,1,1
20394,d,2,d,8,d,5,1
12815,d,3,h,2,g,7,1
24422,d,1,b,5,b,3,1
3469,d,1,a,3,h,1,1
27413,d,1,c,2,e,3,1
9274,c,3,h,7,e,2,1
13827,c,1,a,5,g,3,1
13608,b,2,b,7,f,2,1
26985,c,1,c,7,h,7,1
14473,c,2,e,2,h,4,1
11435,c,3,b,8,h,4,1
5702,d,1,a,4,a,2,1
18787,c,2,d,5,f,4,1
13188,a,1,b,6,h,7,1
9196,c,3,d,7,e,2,1
15555,d,2,a,7,a,5,1
16379,d,3,f,1,c,5,1
9743,d,3,b,4,b,7,1
10974,c,1,f,2,g,5,1
22437,b,2,e,5,e,2,1
27757,a,1,c,8,f,3,1
21356,b,1,a,4,b,7,1
14600,c,2,f,2,b,5,1
23586,c,1,h,4,e,7,1
15497,d,1,h,7,h,4,1
20129,d,2,b,2,e,6,1
15183,d,1,b,2,h,7,1
15621,d,2,c,1,g,8,1
12198,d,2,e,8,h,7,1
23463,c,1,g,8,d,4,1
17558,b,2,a,3,g,3,1
22107,b,1,h,4,e,4,1
6909,c,1,b,5,e,1,1
23122,c,1,d,8,e,5,1
19788,d,1,e,7,g,5,1
8364,a,1,g,1,h,4,1
22370,b,2,d,2,f,5,1
3258,d,1,g,3,a,2,1
23051,c,1,c,8,f,3,1
18385,c,2,a,1,d,6,1
11203,c,2,e,2,b,7,1
5350,c,1,d,8,h,1,1
20480,d,2,f,1,f,6,1
27672,a,1,b,2,e,4,1
12649,d,3,e,3,c,5,1
24128,d,1,a,1,d,6,1
9124,c,3,b,5,f,1,1
17574,b,2,a,5,h,6,1
21187,a,1,f,5,h,3,1
11042,c,1,g,7,d,8,1
5526,c,2,d,8,h,1,1
7976,d,4,b,2,h,5,1
8911,c,2,d,1,a,6,1
22204,b,2,a,2,g,6,1
15194,d,1,b,5,h,8,1
18195,c,1,e,8,f,6,1
16803,a,1,c,5,g,2,1
20512,d,2,f,3,f,6,1
8344,a,1,c,4,h,1,1
8567,b,1,h,7,e,8,1
16393,d,3,f,1,f,7,1
3246,d,1,e,3,a,1,1
22074,b,1,h,2,g,7,1
24812,d,1,f,3,c,5,1
20521,d,2,f,4,c,7,1
19101,c,2,h,2,d,6,1
13460,b,1,f,3,h,8,1
19645,d,1,d,6,b,5,1
14450,c,2,e,2,b,5,1
12724,d,3,f,4,d,8,1
4400,d,3,g,2,h,7,1
8245,d,4,f,5,h,4,1
26454,b,1,f,8,e,3,1
20497,d,2,f,2,e,8,1
13264,a,1,h,4,d,3,1
11140,c,2,d,1,c,4,1
22988,c,1,c,3,e,3,1
10277,d,4,h,2,h,6,1
15474,d,1,h,5,d,4,1
22992,c,1,c,3,e,7,1
15117,d,1,a,1,a,4,1
10703,b,2,c,5,h,4,1
21699,b,1,d,5,d,2,1
19156,c,2,h,5,b,4,1
17497,b,1,h,3,b,6,1
8930,c,2,d,3,c,4,1
12072,d,2,d,6,h,7,1
19376,c,3,g,1,e,4,1
20541,d,2,f,5,d,7,1
