,0,1,2,3,4,5,output
1025,c,1,f,8,f,7,0
2407,d,3,c,5,b,4,0
450,b,1,f,4,g,5,0
2595,d,3,g,8,f,8,0
439,b,1,f,3,f,4,0
1385,c,2,g,3,h,4,0
1907,d,1,g,3,g,2,0
1829,d,1,e,7,e,8,0
1061,c,1,g,5,g,4,0
1293,c,2,e,6,f,7,0
807,c,1,b,6,a,5,0
803,c,1,b,5,b,6,0
1033,c,1,g,2,a,1,0
1161,c,2,b,5,a,6,0
2113,d,2,d,5,c,6,0
1239,c,2,d,6,d,5,0
1763,d,1,d,4,e,3,0
1788,d,1,d,7,e,7,0
840,c,1,c,4,d,4,0
1717,d,1,c,4,b,4,0
2230,d,2,g,2,f,1,0
1765,d,1,d,4,e,5,0
2147,d,2,e,5,d,5,0
1703,d,1,b,7,c,7,0
2260,d,2,g,5,h,5,0
1915,d,1,g,4,g,3,0
2258,d,2,g,5,g,6,0
2504,d,3,f,3,g,2,0
2705,d,4,f,5,g,5,0
2279,d,2,g,8,f,8,0
1601,c,3,h,4,g,4,0
1551,c,3,g,3,f,3,0
2425,d,3,c,7,c,8,0
2776,d,4,h,4,g,4,0
2077,d,2,c,5,b,4,0
1410,c,2,g,7,f,6,0
2276,d,2,g,7,h,7,0
368,b,1,e,1,f,2,0
430,b,1,f,2,f,1,0
1926,d,1,g,5,h,5,0
2671,d,4,e,1,f,2,0
1407,c,2,g,6,h,5,0
1173,c,2,b,6,c,6,0
1480,c,3,e,3,e,2,0
411,b,1,e,7,d,8,0
1727,d,1,c,5,c,4,0
1366,c,2,g,1,f,2,0
1389,c,2,g,4,g,3,0
1368,c,2,g,1,h,1,0
511,b,1,g,5,f,6,0
1242,c,2,d,6,e,6,0
1425,c,2,h,1,h,2,0
2667,d,4,e,1,d,1,0
911,c,1,d,8,c,8,0
2629,d,3,h,7,g,8,0
1804,d,1,e,4,e,3,0
1740,d,1,c,7,b,6,0
1735,d,1,c,6,c,5,0
194,a,1,h,7,g,6,0
2416,d,3,c,6,c,5,0
1057,c,1,g,4,h,5,0
2022,d,2,b,1,a,2,0
178,a,1,h,3,h,4,0
867,c,1,c,8,b,8,0
2275,d,2,g,7,h,6,0
141,a,1,g,4,g,5,0
707,b,2,g,6,f,6,0
572,b,1,h,8,g,8,0
2704,d,4,f,5,g,4,0
407,b,1,e,6,f,6,0
2661,d,4,d,1,e,2,0
1517,c,3,f,4,e,4,0
324,b,1,d,3,e,2,0
1812,d,1,e,5,e,4,0
1078,c,1,g,7,g,8,0
2096,d,2,c,7,c,6,0
32,a,1,d,3,e,3,0
432,b,1,f,2,g,1,0
67,a,1,e,4,f,5,0
1213,c,2,c,7,c,8,0
891,c,1,d,5,e,4,0
952,c,1,e,6,e,7,0
874,c,1,d,3,d,4,0
2589,d,3,g,7,g,6,0
2422,d,3,c,7,b,7,0
767,c,1,a,5,a,6,0
479,b,1,f,8,g,8,0
2102,d,2,c,8,b,8,0
1747,d,1,c,7,d,8,0
1268,c,2,e,3,f,2,0
2354,d,3,a,8,b,8,0
1474,c,3,e,2,d,1,0
1966,d,1,h,4,h,5,0
298,b,1,c,7,b,6,0
506,b,1,g,4,h,3,0
2437,d,3,d,5,c,6,0
568,b,1,h,7,g,8,0
2460,d,3,d,8,e,7,0
471,b,1,f,7,f,8,0
1426,c,2,h,2,g,1,0
331,b,1,d,4,d,5,0
841,c,1,c,4,d,5,0
1624,d,1,a,2,a,1,0
1921,d,1,g,5,f,5,0
1159,c,2,b,5,a,4,0
829,c,1,c,3,b,3,0
196,a,1,h,7,h,6,0
2633,d,3,h,8,g,8,0
30,a,1,d,3,d,4,0
1991,d,2,a,2,b,2,0
1096,c,1,h,3,g,2,0
783,c,1,a,8,b,8,0
2104,d,2,c,8,d,7,0
2392,d,3,b,7,a,7,0
1927,d,1,g,5,h,6,0
1533,c,3,f,6,g,5,0
2271,d,2,g,7,f,7,0
2753,d,4,g,6,h,5,0
1833,d,1,e,8,d,7,0
1225,c,2,d,4,e,3,0
1939,d,1,g,7,g,6,0
2269,d,2,g,6,h,7,0
322,b,1,d,3,d,2,0
802,c,1,b,5,b,4,0
2605,d,3,h,2,h,1,0
2631,d,3,h,7,h,8,0
1622,d,1,a,1,b,1,0
309,b,1,c,8,d,7,0
175,a,1,h,3,g,3,0
1886,d,1,f,8,e,7,0
73,a,1,e,6,f,5,0
1924,d,1,g,5,g,6,0
63,a,1,e,4,e,3,0
1044,c,1,g,3,f,4,0
1846,d,1,f,2,g,3,0
45,a,1,e,2,d,1,0
912,c,1,d,8,d,7,0
367,b,1,e,1,f,1,0
1609,c,3,h,5,h,6,0
80,a,1,f,2,e,2,0
2539,d,3,f,8,g,7,0
1711,d,1,c,3,b,3,0
2619,d,3,h,5,g,6,0
999,c,1,f,5,e,4,0
1677,d,1,b,4,b,5,0
518,b,1,g,6,f,6,0
2126,d,2,d,6,e,7,0
2401,d,3,b,8,b,7,0
927,c,1,e,3,e,2,0
1586,c,3,g,8,h,7,0
1825,d,1,e,7,d,6,0
1591,c,3,h,2,g,2,0
2369,d,3,b,3,b,4,0
965,c,1,e,8,d,8,0
1427,c,2,h,2,g,2,0
1146,c,2,a,7,b,6,0
1701,d,1,b,7,b,8,0
2046,d,2,b,5,b,6,0
2700,d,4,f,4,g,4,0
2646,d,4,b,3,c,2,0
2266,d,2,g,6,g,7,0
2608,d,3,h,3,g,3,0
2212,d,2,f,7,e,6,0
44,a,1,e,1,f,2,0
781,c,1,a,8,a,7,0
1637,d,1,a,4,b,4,0
2468,d,3,e,5,f,4,0
1105,c,1,h,4,h,5,0
2697,d,4,f,4,f,3,0
2128,d,2,d,7,c,7,0
2249,d,2,g,4,g,3,0
2426,d,3,c,7,d,6,0
93,a,1,f,3,g,3,0
2418,d,3,c,6,d,5,0
926,c,1,e,3,d,4,0
1004,c,1,f,5,g,4,0
318,b,1,d,2,e,2,0
433,b,1,f,2,g,2,0
2524,d,3,f,6,f,7,0
1123,c,1,h,8,h,7,0
1745,d,1,c,7,d,6,0
1569,c,3,g,5,g,4,0
2153,d,2,e,5,f,6,0
2390,d,3,b,6,c,7,0
2658,d,4,d,1,c,2,0
478,b,1,f,8,g,7,0
676,b,2,g,2,f,3,0
414,b,1,e,7,f,6,0
408,b,1,e,6,f,7,0
1800,d,1,e,3,f,4,0
1872,d,1,f,6,e,7,0
2285,d,2,h,1,h,2,0
765,c,1,a,4,b,5,0
2395,d,3,b,7,b,8,0
239,b,1,b,5,a,4,0
2582,d,3,g,6,g,7,0
532,b,1,g,7,h,8,0
2195,d,2,f,4,g,5,0
1029,c,1,g,1,f,2,0
1338,c,2,f,5,e,6,0
498,b,1,g,3,h,2,0
2541,d,3,g,1,f,1,0
1037,c,1,g,2,g,1,0
211,b,1,a,5,b,5,0
70,a,1,e,5,f,4,0
944,c,1,e,5,e,6,0
2694,d,4,f,3,g,2,0
2436,d,3,d,5,c,5,0
2685,d,4,f,2,e,2,0
56,a,1,e,3,e,2,0
1289,c,2,e,6,e,5,0
1588,c,3,h,1,g,2,0
990,c,1,f,3,g,4,0
1231,c,2,d,5,d,4,0
1317,c,2,f,2,g,1,0
2739,d,4,g,4,h,4,0
1506,c,3,f,2,g,2,0
2638,d,4,b,1,a,1,0
543,b,1,h,2,g,3,0
2678,d,4,e,6,f,5,0
2743,d,4,g,5,f,6,0
1844,d,1,f,2,g,1,0
581,b,2,d,2,e,2,0
602,b,2,e,2,e,3,0
1748,d,1,c,8,b,7,0
124,a,1,g,2,g,1,0
2208,d,2,f,6,f,7,0
1880,d,1,f,7,e,8,0
2443,d,3,d,6,c,7,0
1286,c,2,e,6,d,5,0
2419,d,3,c,6,d,6,0
945,c,1,e,5,f,4,0
1868,d,1,f,5,g,5,0
1237,c,2,d,6,c,6,0
788,c,1,b,3,b,4,0
1539,c,3,g,1,g,2,0
1097,c,1,h,3,g,3,0
2581,d,3,g,6,g,5,0
2206,d,2,f,6,e,7,0
1642,d,1,a,5,b,5,0
940,c,1,e,5,d,4,0
509,b,1,g,5,f,4,0
1871,d,1,f,6,e,6,0
787,c,1,b,3,a,4,0
528,b,1,g,7,g,6,0
2089,d,2,c,6,c,7,0
2542,d,3,g,1,f,2,0
2518,d,3,f,5,g,5,0
233,b,1,b,4,a,5,0
296,b,1,c,6,d,6,0
1359,c,2,f,7,g,8,0
1739,d,1,c,6,d,7,0
1422,c,2,g,8,h,8,0
782,c,1,a,8,b,7,0
2507,d,3,f,4,e,5,0
1716,d,1,c,4,b,3,0
1285,c,2,e,5,f,6,0
557,b,1,h,5,g,5,0
1419,c,2,g,8,f,8,0
1449,c,2,h,6,h,5,0
772,c,1,a,6,a,7,0
599,b,2,e,2,d,2,0
907,c,1,d,7,e,6,0
1769,d,1,d,5,d,4,0
410,b,1,e,7,d,7,0
1124,c,2,a,1,a,2,0
1885,d,1,f,7,g,8,0
1018,c,1,f,7,f,6,0
354,b,1,d,7,d,6,0
2476,d,3,e,6,f,5,0
2441,d,3,d,6,c,5,0
527,b,1,g,7,f,8,0
2335,d,3,a,4,b,4,0
29,a,1,d,3,d,2,0
2561,d,3,g,3,h,4,0
1590,c,3,h,2,g,1,0
798,c,1,b,4,c,5,0
