,0,1,2,3,4,5,output
787,c,1,b,3,a,4,0
841,c,1,c,4,d,5,0
1127,c,2,a,3,a,2,0
1093,c,1,h,2,g,3,0
693,b,2,g,4,g,3,0
1610,c,3,h,6,g,5,0
2726,d,4,g,3,f,3,0
1124,c,2,a,1,a,2,0
175,a,1,h,3,g,3,0
2170,d,2,e,8,d,7,0
2509,d,3,f,4,f,5,0
1747,d,1,c,7,d,8,0
2039,d,2,b,4,b,5,0
1491,c,3,e,5,f,4,0
591,b,2,d,4,e,5,0
2512,d,3,f,4,g,5,0
916,c,1,e,1,f,1,0
411,b,1,e,7,d,8,0
1956,d,1,h,2,h,3,0
1940,d,1,g,7,g,8,0
1991,d,2,a,2,b,2,0
2392,d,3,b,7,a,7,0
2310,d,2,h,6,h,7,0
1740,d,1,c,7,b,6,0
514,b,1,g,5,h,4,0
231,b,1,b,4,a,3,0
1244,c,2,d,7,c,6,0
630,b,2,f,1,g,1,0
1612,c,3,h,6,g,7,0
2700,d,4,f,4,g,4,0
2145,d,2,e,4,f,5,0
662,b,2,f,5,g,6,0
808,c,1,b,6,a,6,0
1544,c,3,g,2,f,3,0
270,b,1,c,3,c,4,0
479,b,1,f,8,g,8,0
1879,d,1,f,7,e,7,0
344,b,1,d,6,c,6,0
1918,d,1,g,4,h,4,0
2040,d,2,b,4,c,4,0
2645,d,4,b,2,c,2,0
2304,d,2,h,5,h,4,0
1207,c,2,c,6,d,6,0
942,c,1,e,5,d,6,0
18,a,1,d,1,e,2,0
1448,c,2,h,6,g,7,0
1655,d,1,a,8,b,7,0
84,a,1,f,2,g,1,0
568,b,1,h,7,g,8,0
76,a,1,f,1,f,2,0
1943,d,1,g,7,h,8,0
2698,d,4,f,4,f,5,0
307,b,1,c,8,b,8,0
2057,d,2,b,6,c,7,0
1425,c,2,h,1,h,2,0
2303,d,2,h,5,g,6,0
1662,d,1,b,2,a,3,0
2661,d,4,d,1,e,2,0
340,b,1,d,5,e,4,0
185,a,1,h,5,g,5,0
1913,d,1,g,4,f,4,0
1338,c,2,f,5,e,6,0
929,c,1,e,3,f,2,0
926,c,1,e,3,d,4,0
163,a,1,g,7,h,7,0
969,c,1,f,1,e,1,0
1125,c,2,a,2,a,1,0
383,b,1,e,3,f,3,0
679,b,2,g,2,h,1,0
85,a,1,f,2,g,2,0
2627,d,3,h,7,g,6,0
2472,d,3,e,6,d,6,0
2420,d,3,c,6,d,7,0
2079,d,2,c,5,b,6,0
1551,c,3,g,3,f,3,0
2185,d,2,f,3,f,4,0
2535,d,3,f,7,g,8,0
1513,c,3,f,3,g,2,0
979,c,1,f,2,f,3,0
859,c,1,c,7,b,7,0
759,c,1,a,3,b,3,0
535,b,1,g,8,g,7,0
575,b,2,d,1,d,2,0
1701,d,1,b,7,b,8,0
596,b,2,e,1,f,1,0
873,c,1,d,3,c,4,0
2484,d,3,e,7,f,6,0
1302,c,2,e,8,d,7,0
2533,d,3,f,7,g,6,0
2757,d,4,g,7,g,6,0
2097,d,2,c,7,c,8,0
1613,c,3,h,6,h,5,0
350,b,1,d,6,e,7,0
807,c,1,b,6,a,5,0
135,a,1,g,3,h,3,0
2283,d,2,h,1,g,1,0
1032,c,1,g,1,h,2,0
765,c,1,a,4,b,5,0
1423,c,2,h,1,g,1,0
605,b,2,e,2,f,3,0
1587,c,3,h,1,g,1,0
56,a,1,e,3,e,2,0
643,b,2,f,3,f,2,0
1174,c,2,b,6,c,7,0
970,c,1,f,1,e,2,0
123,a,1,g,2,f,3,0
2610,d,3,h,3,h,2,0
1133,c,2,a,4,b,5,0
254,b,1,b,6,c,7,0
511,b,1,g,5,f,6,0
2633,d,3,h,8,g,8,0
2416,d,3,c,6,c,5,0
2371,d,3,b,4,a,4,0
908,c,1,d,7,e,7,0
964,c,1,e,8,d,7,0
2059,d,2,b,7,a,7,0
1413,c,2,g,7,g,6,0
1557,c,3,g,3,h,4,0
212,b,1,a,5,b,6,0
1703,d,1,b,7,c,7,0
945,c,1,e,5,f,4,0
544,b,1,h,2,h,1,0
2560,d,3,g,3,h,3,0
2250,d,2,g,4,g,5,0
2561,d,3,g,3,h,4,0
1029,c,1,g,1,f,2,0
222,b,1,a,7,b,8,0
1326,c,2,f,3,g,3,0
2589,d,3,g,7,g,6,0
2599,d,3,h,1,g,1,0
761,c,1,a,4,a,3,0
29,a,1,d,3,d,2,0
2103,d,2,c,8,c,7,0
495,b,1,g,3,f,4,0
1718,d,1,c,4,b,5,0
1572,c,3,g,5,h,5,0
32,a,1,d,3,e,3,0
229,b,1,b,3,c,3,0
1609,c,3,h,5,h,6,0
2743,d,4,g,5,f,6,0
2377,d,3,b,5,a,5,0
436,b,1,f,3,e,3,0
2287,d,2,h,2,g,2,0
1711,d,1,c,3,b,3,0
1596,c,3,h,3,g,3,0
1724,d,1,c,5,b,4,0
632,b,2,f,2,e,1,0
80,a,1,f,2,e,2,0
834,c,1,c,4,b,3,0
1684,d,1,b,5,b,4,0
2013,d,2,a,7,a,6,0
2687,d,4,f,2,f,3,0
1920,d,1,g,5,f,4,0
2080,d,2,c,5,c,4,0
838,c,1,c,4,c,5,0
158,a,1,g,6,h,6,0
2414,d,3,c,6,b,6,0
533,b,1,g,8,f,7,0
1558,c,3,g,4,f,3,0
1299,c,2,e,7,f,6,0
2524,d,3,f,6,f,7,0
461,b,1,f,6,e,7,0
1750,d,1,c,8,c,7,0
1134,c,2,a,5,a,4,0
67,a,1,e,4,f,5,0
1457,c,2,h,8,g,8,0
1894,d,1,g,1,h,1,0
1113,c,1,h,6,g,7,0
426,b,1,f,1,g,2,0
1536,c,3,f,7,g,6,0
1000,c,1,f,5,e,5,0
1926,d,1,g,5,h,5,0
1601,c,3,h,4,g,4,0
1281,c,2,e,5,e,4,0
912,c,1,d,8,d,7,0
2629,d,3,h,7,g,8,0
1766,d,1,d,5,c,4,0
1271,c,2,e,4,d,4,0
381,b,1,e,3,e,4,0
1538,c,3,g,1,f,2,0
1997,d,2,a,3,b,4,0
65,a,1,e,4,f,3,0
2595,d,3,g,8,f,8,0
507,b,1,g,4,h,4,0
237,b,1,b,4,c,4,0
1298,c,2,e,7,e,8,0
1709,d,1,b,8,c,8,0
2372,d,3,b,4,a,5,0
2306,d,2,h,6,g,5,0
1023,c,1,f,8,e,7,0
1289,c,2,e,6,e,5,0
194,a,1,h,7,g,6,0
1652,d,1,a,7,b,7,0
528,b,1,g,7,g,6,0
867,c,1,c,8,b,8,0
315,b,1,d,2,d,1,0
2523,d,3,f,6,f,5,0
2648,d,4,c,1,b,2,0
331,b,1,d,4,d,5,0
2697,d,4,f,4,f,3,0
1377,c,2,g,2,h,3,0
1651,d,1,a,7,b,6,0
23,a,1,d,2,d,3,0
435,b,1,f,3,e,2,0
2459,d,3,d,8,d,7,0
1264,c,2,e,2,f,3,0
685,b,2,g,3,g,2,0
2685,d,4,f,2,e,2,0
651,b,2,f,4,f,3,0
1114,c,1,h,6,h,5,0
2518,d,3,f,5,g,5,0
707,b,2,g,6,f,6,0
2042,d,2,b,5,a,4,0
572,b,1,h,8,g,8,0
543,b,1,h,2,g,3,0
902,c,1,d,7,c,6,0
1033,c,1,g,2,a,1,0
2478,d,3,e,6,f,7,0
1582,c,3,g,7,g,6,0
2226,d,2,g,1,f,2,0
2151,d,2,e,5,f,4,0
1681,d,1,b,5,a,4,0
695,b,2,g,4,h,3,0
2203,d,2,f,5,g,6,0
2658,d,4,d,1,c,2,0
1832,d,1,e,7,f,8,0
2530,d,3,f,7,e,8,0
772,c,1,a,6,a,7,0
2228,d,2,g,1,h,1,0
1801,d,1,e,4,d,3,0
1962,d,1,h,4,g,3,0
736,b,2,h,4,h,5,0
2701,d,4,f,4,g,5,0
1397,c,2,g,5,g,4,0
1697,d,1,b,7,a,6,0
790,c,1,b,3,c,4,0
168,a,1,h,1,h,2,0
2581,d,3,g,6,g,5,0
2448,d,3,d,6,e,7,0
2002,d,2,a,4,b,5,0
450,b,1,f,4,g,5,0
1907,d,1,g,3,g,2,0
1854,d,1,f,4,e,3,0
49,a,1,e,2,e,3,0
637,b,2,f,2,g,1,0
423,b,1,f,1,e,2,0
2243,d,2,g,3,h,2,0
1295,c,2,e,7,d,7,0
2526,d,3,f,6,g,6,0
2739,d,4,g,4,h,4,0
360,b,1,d,8,c,8,0
1723,d,1,c,4,d,5,0
51,a,1,e,2,f,2,0
1590,c,3,h,2,g,1,0
831,c,1,c,3,c,4,0
2441,d,3,d,6,c,5,0
2452,d,3,d,7,d,6,0
489,b,1,g,2,g,3,0
2547,d,3,g,2,f,2,0
561,b,1,h,6,g,5,0
677,b,2,g,2,g,1,0
2580,d,3,g,6,f,7,0
1011,c,1,f,6,f,7,0
1285,c,2,e,5,f,6,0
1915,d,1,g,4,g,3,0
1674,d,1,b,4,a,4,0
1389,c,2,g,4,g,3,0
196,a,1,h,7,h,6,0
1804,d,1,e,4,e,3,0
1834,d,1,e,8,d,8,0
1231,c,2,d,5,d,4,0
1939,d,1,g,7,g,6,0
1192,c,2,c,4,d,5,0
564,b,1,h,6,h,5,0
324,b,1,d,3,e,2,0
1738,d,1,c,6,d,6,0
654,b,2,f,4,g,4,0
705,b,2,g,5,h,6,0
100,a,1,f,4,g,3,0
1106,c,1,h,5,g,4,0
1340,c,2,f,5,f,6,0
1771,d,1,d,5,e,4,0
2161,d,2,e,6,f,7,0
1554,c,3,g,3,g,4,0
1510,c,3,f,3,e,4,0
1950,d,1,h,1,g,2,0
1730,d,1,c,5,d,5,0
2176,d,2,f,1,g,1,0
2004,d,2,a,5,a,6,0
621,b,2,e,5,d,4,0
1057,c,1,g,4,h,5,0
1877,d,1,f,6,g,7,0
1966,d,1,h,4,h,5,0
2232,d,2,g,2,f,3,0
694,b,2,g,4,g,5,0
1888,d,1,f,8,f,7,0
188,a,1,h,5,h,6,0
756,c,1,a,2,b,3,0
2273,d,2,g,7,g,6,0
889,c,1,d,5,d,4,0
2153,d,2,e,5,f,6,0
494,b,1,g,3,f,3,0
1321,c,2,f,3,e,3,0
1096,c,1,h,3,g,2,0
1034,c,1,g,2,f,1,0
1865,d,1,f,5,f,4,0
263,b,1,b,8,a,7,0
2657,d,4,d,1,c,1,0
259,b,1,b,7,b,8,0
521,b,1,g,6,g,7,0
599,b,2,e,2,d,2,0
2087,d,2,c,6,b,7,0
1465,c,3,c,1,d,1,0
179,a,1,h,4,g,3,0
2555,d,3,g,3,f,3,0
367,b,1,e,1,f,1,0
2091,d,2,c,6,d,6,0
162,a,1,g,7,h,6,0
2173,d,2,e,8,f,7,0
463,b,1,f,6,f,7,0
1406,c,2,g,6,g,7,0
1270,c,2,e,3,f,4,0
2279,d,2,g,8,f,8,0
1637,d,1,a,4,b,4,0
233,b,1,b,4,a,5,0
2626,d,3,h,6,h,7,0
1725,d,1,c,5,b,5,0
2292,d,2,h,3,g,3,0
1789,d,1,d,7,e,8,0
1151,c,2,a,8,b,8,0
1283,c,2,e,5,f,4,0
2722,d,4,g,2,h,1,0
226,b,1,b,3,a,3,0
166,a,1,h,1,g,1,0
1925,d,1,g,5,h,4,0
141,a,1,g,4,g,5,0
213,b,1,a,6,a,5,0
2567,d,3,g,4,h,3,0
836,c,1,c,4,b,5,0
2507,d,3,f,4,e,5,0
2274,d,2,g,7,g,8,0
2131,d,2,d,7,d,8,0
272,b,1,c,3,d,3,0
1844,d,1,f,2,g,1,0
1539,c,3,g,1,g,2,0
2124,d,2,d,6,e,5,0
2378,d,3,b,5,a,6,0
2359,d,3,b,2,a,1,0
961,c,1,e,7,f,6,0
120,a,1,g,1,h,2,0
2216,d,2,f,7,f,8,0
296,b,1,c,6,d,6,0
1784,d,1,d,7,c,8,0
1204,c,2,c,6,c,5,0
1517,c,3,f,4,e,4,0
506,b,1,g,4,h,3,0
1657,d,1,b,1,a,1,0
2776,d,4,h,4,g,4,0
1084,c,1,g,8,g,7,0
1449,c,2,h,6,h,5,0
70,a,1,e,5,f,4,0
2314,d,2,h,7,h,6,0
2174,d,2,e,8,f,8,0
2252,d,2,g,4,h,4,0
432,b,1,f,2,g,1,0
2422,d,3,c,7,b,7,0
1027,c,1,f,8,g,8,0
874,c,1,d,3,d,4,0
2172,d,2,e,8,e,7,0
1186,c,2,b,8,c,7,0
1486,c,3,e,4,e,5,0
1867,d,1,f,5,g,4,0
1929,d,1,g,6,f,6,0
1509,c,3,f,3,e,3,0
2221,d,2,f,8,e,8,0
291,b,1,c,6,b,6,0
819,c,1,b,7,b,8,0
1385,c,2,g,3,h,4,0
2186,d,2,f,3,g,2,0
1961,d,1,h,3,h,4,0
1159,c,2,b,5,a,4,0
2460,d,3,d,8,e,7,0
1744,d,1,c,7,c,8,0
1594,c,3,h,2,h,3,0
1672,d,1,b,3,c,4,0
2129,d,2,d,7,c,8,0
2107,d,2,d,4,c,5,0
178,a,1,h,3,h,4,0
170,a,1,h,2,g,2,0
1226,c,2,d,4,e,4,0
1885,d,1,f,7,g,8,0
856,c,1,c,6,d,6,0
2206,d,2,f,6,e,7,0
657,b,2,f,5,e,5,0
518,b,1,g,6,f,6,0
444,b,1,f,4,e,4,0
2534,d,3,f,7,g,7,0
1550,c,3,g,3,f,2,0
1833,d,1,e,8,d,7,0
751,b,2,h,8,g,7,0
1263,c,2,e,2,f,2,0
1359,c,2,f,7,g,8,0
1260,c,2,e,2,e,1,0
1760,d,1,d,4,c,5,0
1351,c,2,f,6,g,7,0
1293,c,2,e,6,f,7,0
1490,c,3,e,5,e,4,0
532,b,1,g,7,h,8,0
2769,d,4,h,2,h,3,0
1942,d,1,g,7,h,7,0
952,c,1,e,6,e,7,0
443,b,1,f,4,e,3,0
1878,d,1,f,7,e,6,0
1064,c,1,g,5,h,5,0
1048,c,1,g,3,h,3,0
2564,d,3,g,4,f,5,0
1666,d,1,b,3,a,2,0
1642,d,1,a,5,b,5,0
111,a,1,f,6,f,5,0
1588,c,3,h,1,g,2,0
890,c,1,d,5,d,6,0
1600,c,3,h,4,g,3,0
1677,d,1,b,4,b,5,0
275,b,1,c,4,b,4,0
2575,d,3,g,5,h,4,0
1880,d,1,f,7,e,8,0
1564,c,3,g,4,h,4,0
748,b,2,h,7,g,7,0
1518,c,3,f,4,e,5,0
1988,d,2,a,2,a,1,0
433,b,1,f,2,g,2,0
1196,c,2,c,5,c,4,0
1983,d,1,h,8,g,8,0
45,a,1,e,2,d,1,0
809,c,1,b,6,a,7,0
2792,d,4,h,7,h,6,0
618,b,2,e,4,f,3,0
2684,d,4,f,2,e,1,0
1829,d,1,e,7,e,8,0
620,b,2,e,4,f,5,0
1146,c,2,a,7,b,6,0
1149,c,2,a,8,a,7,0
2609,d,3,h,3,g,4,0
2554,d,3,g,3,f,2,0
602,b,2,e,2,e,3,0
2618,d,3,h,5,g,5,0
821,c,1,b,7,c,7,0
1047,c,1,g,3,h,2,0
1628,d,1,a,2,b,3,0
1948,d,1,g,8,h,8,0
1058,c,1,g,5,f,4,0
1957,d,1,h,3,g,2,0
857,c,1,c,6,d,7,0
2593,d,3,g,7,h,8,0
1187,c,2,b,8,c,8,0
361,b,1,d,8,d,7,0
2035,d,2,b,4,a,3,0
1128,c,2,a,3,a,4,0
2078,d,2,c,5,b,5,0
316,b,1,d,2,d,3,0
2326,d,3,a,2,b,3,0
2650,d,4,c,1,d,1,0
1475,c,3,e,2,e,1,0
668,b,2,f,7,g,6,0
2118,d,2,d,5,e,6,0
44,a,1,e,1,f,2,0
2443,d,3,d,6,c,7,0
1010,c,1,f,6,f,5,0
810,c,1,b,6,b,5,0
990,c,1,f,3,g,4,0
932,c,1,e,4,d,3,0
1213,c,2,c,7,c,8,0
927,c,1,e,3,e,2,0
134,a,1,g,3,h,2,0
208,b,1,a,5,a,4,0
1195,c,2,c,5,b,6,0
353,b,1,d,7,c,8,0
1859,d,1,f,4,g,3,0
1480,c,3,e,3,e,2,0
247,b,1,b,6,a,5,0
1044,c,1,g,3,f,4,0
555,b,1,h,4,h,5,0
1963,d,1,h,4,g,4,0
1987,d,2,a,1,b,2,0
727,b,2,h,3,g,2,0
2209,d,2,f,6,g,5,0
