,0000,0001_0,0001_1,0001_2,0001_3,0001_4,0001_5,0001_6,0002_0,0002_1,0002_2,0002_3,0003_-1,0003_-2,0003_0,0003_1,0003_2,0003_3,0003_4,0003_5,0003_6,0003_7,0003_8,0004_-1,0004_-2,0004_0,0004_1,0004_2,0004_3,0004_4,0004_5,0004_6,0004_7,0004_8,0005_-1,0005_-2,0005_0,0005_1,0005_2,0005_3,0005_4,0005_5,0005_6,0005_7,0005_8,0006_-1,0006_-2,0006_0,0006_1,0006_2,0006_3,0006_4,0006_5,0006_6,0006_7,0006_8,0007_-1,0007_-2,0007_0,0007_2,0007_3,0007_4,0007_5,0007_6,0007_7,0007_8,0008_-1,0008_-2,0008_0,0008_2,0008_3,0008_4,0008_5,0008_6,0008_7,0008_8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,output
16374,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.6742763585750711,0.7067342564635929,-0.4460581852258931,-0.4187297144738698,-0.38273729826715375,-0.3516916148022329,-0.3175925343342869,-0.3080067333558551,-0.24534078643710136,-0.18320635378891625,-0.2513639432217097,-0.24422964521769594,-0.3141361173103375,-0.1808782084204128,0
5163,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.4430544648613128,-1.0290471701105863,0.4697608659042426,0.6016351142993135,0.6458685992462092,0.7945225194481557,0.9227164216147256,0.9940746112062792,0.17125030273069028,-0.161505423016048,-0.012817956229383023,-0.07188077062169877,-0.0915946431778673,-0.06837435891615369,0
28800,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1.1367201460025875,1.140679613107138,-0.6218042902836528,-0.5982229904450276,-0.5680196004197529,-0.5406961668425714,-0.520829113117222,-0.5044700083307332,-0.2656269612139677,-0.20126152819194254,-0.2319962809444756,-0.2883381905309678,-0.2931255840172425,-0.2752689381544862,0
24109,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.5201284294325655,-0.9205608309497002,-0.6930071980046817,-0.6814572892202243,-0.6630472579172724,-0.6644763500728711,-0.6466430165738964,-0.64463060287905,-0.28156609853864845,-0.21219879730146812,-0.296801274077391,-0.24435731105073003,-0.3141361173103375,-0.2483805181229683,1
5135,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.09646328713745636,-0.3781291351452691,0.3041322825424902,0.3907533468589138,0.4494396538089997,0.6121709773817677,0.7307634534699496,0.7457248815585487,-0.07025177794629038,-0.12678393377945885,0.02693970826933809,-0.08464735392510597,-0.3141361173103375,-0.11337589871785735,0
19633,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.562830153417544,0.9237069347853656,-0.6783537672530147,0.4205119972312748,4.077405273349732,4.440838317647872,4.8648086373344865,-0.6316170098785774,4.4345469084415985,10.810702185053852,0.08828010492450783,0.22819776992488736,-0.23153395838234414,-0.17412797745015726,1
8888,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.019389322566203637,-0.5951018134670415,-0.6622743770676821,-0.6263658500747911,-0.3151508596190697,0.28385737069996925,0.3695563257527877,0.34453679902010537,-0.0642746014495351,0.7412532971352701,1.9750652687066728,-0.026048736562466937,-0.3141361173103375,-0.13587666861870915,1
2008,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.4837946494200058,-0.3781291351452691,-0.6997295781919617,-0.6952125860637283,-0.6822690890924156,-0.6771761378035197,-0.6680095037735592,-0.6577785297427534,-0.34194161870789364,-0.2569895184166682,-0.296801274077391,-0.3080625617347319,-0.3141361173103375,-0.2933820579246719,1
17461,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.019389322566203637,0.9237069347853656,-0.695641827815454,-0.6327868619823307,-0.6453395244716041,-0.5939513354658298,-0.6630585317588568,-0.6527242181386989,-0.09186621416688014,-0.15890131132330382,-0.00980773306019414,-0.3080625617347319,-0.3141361173103375,-0.2933820579246719,1
25420,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.1367201460025875,-0.9205608309497002,-0.4605486491851412,-0.6909834294244078,-0.6779286756012541,-0.6724972686395966,-0.5874122849295659,-0.5724765265912679,-0.34194161870789364,-0.2569895184166682,-0.296801274077391,-0.014494978672883425,-0.2683187549889466,-0.2933820579246719,1
