,0000,0001_0,0001_1,0001_2,0001_3,0001_4,0001_5,0001_6,0002_0,0002_1,0002_2,0002_3,0003_-1,0003_-2,0003_0,0003_1,0003_2,0003_3,0003_4,0003_5,0003_6,0003_7,0003_8,0004_-1,0004_-2,0004_0,0004_1,0004_2,0004_3,0004_4,0004_5,0004_6,0004_7,0004_8,0005_-1,0005_-2,0005_0,0005_1,0005_2,0005_3,0005_4,0005_5,0005_6,0005_7,0005_8,0006_-1,0006_-2,0006_0,0006_1,0006_2,0006_3,0006_4,0006_5,0006_6,0006_7,0006_8,0007_-1,0007_-2,0007_0,0007_2,0007_3,0007_4,0007_5,0007_6,0007_7,0007_8,0008_-1,0008_-2,0008_0,0008_2,0008_3,0008_4,0008_5,0008_6,0008_7,0008_8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,output
1071,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.13475860657630187,0.9237069347853656,-0.6903454070618394,-0.6192704211616455,-0.529143338718188,-0.5827282672387449,-0.4255270139372021,-0.639626666473707,-0.0337849637640663,0.1908308890122404,0.29132817718583354,0.6137485856877848,-0.26308248500935905,3.4726843042304023,1
23052,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.3659805002900601,-0.9205608309497002,-0.6829575791388488,-0.6909834294244078,-0.6779286756012541,-0.6724972686395966,-0.6630585317588568,-0.6527242181386989,-0.34194161870789364,-0.2569895184166682,-0.296801274077391,-0.3080625617347319,-0.3141361173103375,-0.2933820579246719,1
16894,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.2118325711475546,-0.3781291351452691,-0.0691159943609538,0.024039100060697188,0.1785459400383773,0.4657425802915475,0.2744845043408935,0.3724110756404727,0.013670195088960405,0.15077097080552568,0.5551486794666329,-0.3080625617347319,0.013130756413883395,0.10521908086891812,1
25233,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.6742763585750711,-1.137533509271473,-0.19532019452336485,-0.133957133856772,-0.09084809598114617,-0.03279792411158875,-0.004529908567404235,0.03200906621391468,-0.10647709004783748,-0.1701857953251953,-0.20734652895526848,-0.3080625617347319,-0.2028653802441024,-0.08524993634179256,1
290,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8672029328499838,-0.2696427959843829,-0.6834464795161056,-0.6783662112778639,-0.67324218262907,-0.658538383226962,-0.6577127978559388,-6.355247087480026,-0.28772440159591145,-0.24288391341430385,-0.2457978701918888,-0.28731686386669525,-0.3141361173103375,19.130013795512397,1
16922,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1.0596461814313347,1.4661386305897963,-0.6903454070618394,-0.6719030483074738,-0.6695939280999543,-0.6672121672584209,-0.6638809523593057,-0.6601125806163866,-0.22505461166023494,-0.2569895184166682,-0.2774904084637265,-0.3080625617347319,-0.3141361173103375,-0.2933820579246719,1
24937,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.17746033056128,0.16430256065916196,4.562644696373101,4.640311100598922,4.908342107285552,5.477728575387058,5.9749942058804715,6.369276231053134,-0.34194161870789364,0.3533274586394776,0.5381096803957525,0.6175147277622899,1.0654246621867434,0.4139858958333573,1
17060,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1.1367201460025875,-1.4629925267541313,-0.4285528356068951,-0.4103416529666463,-0.5987485743389053,-0.6595798590873702,-0.332642831322502,-0.3213729527473083,-0.25137833845402585,-0.21358765687093173,-0.2496032466510521,1.0005122268645057,-0.2486827425654933,-0.2315049406973294,1
2465,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.5201284294325655,-0.7035881526279277,1.6869462579150478,1.472658727393637,1.227411907169952,1.1062657788583856,1.2575567448814955,0.958627263046282,-0.34194161870789364,-0.2569895184166682,-0.296801274077391,-0.1590127016674529,6.367017109769633,-0.2933820579246719,0
2356,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.1003863659900275,2.008570326394228,3.0655638383828188,2.0930942718425123,1.972823849358006,2.2183132871210565,2.46161340076272,2.601496826891762,0.18646493381334006,0.09890574625837063,0.08373637183893969,0.13876785388451998,0.13552856718674205,0.10038141534023498,0
