,0,1,2,3,output
31,2,2,1,3,0
63,1,3,2,1,0
50,3,3,3,1,0
84,1,4,4,1,0
76,2,1,2,1,0
94,1,1,1,2,0
8,2,2,1,1,0
88,1,1,1,3,0
104,2,2,4,1,0
14,2,4,1,4,0
12,1,1,2,1,0
10,1,2,1,1,0
115,3,3,1,4,0
78,2,2,1,1,0
113,3,1,2,1,0
22,2,1,2,1,0
85,3,3,3,2,0
87,3,3,2,1,0
45,1,2,1,3,0
131,3,1,1,2,0
74,1,2,4,4,0
68,1,3,2,4,0
103,3,1,1,2,0
7,3,4,2,4,0
17,1,2,1,1,0
64,2,4,4,2,0
108,1,4,2,3,0
112,1,3,2,1,0
49,3,3,1,1,0
24,2,3,2,1,0
121,2,1,1,4,0
46,2,1,1,2,0
57,2,1,2,1,0
54,1,1,1,2,0
55,2,1,3,2,0
0,2,1,1,2,0
106,2,3,2,1,0
100,2,3,2,1,0
86,2,2,1,3,0
92,1,3,2,1,0
79,1,1,2,1,0
83,1,2,1,3,0
28,1,1,3,2,0
110,1,2,1,1,0
39,3,4,3,2,0
73,3,1,3,2,0
18,3,3,2,1,0
126,3,4,1,3,0
4,1,1,3,4,0
23,3,2,1,3,0
62,1,1,2,4,0
11,2,2,3,4,0
109,2,2,1,1,0
9,3,2,1,1,0
58,2,2,1,3,0
119,3,3,4,2,0
97,1,1,2,1,0
75,1,4,2,1,0
128,2,1,2,1,0
21,3,2,1,3,0
44,3,1,2,1,0
65,2,3,2,1,0
43,3,2,1,1,0
77,3,4,1,2,0
34,2,4,3,1,0
70,3,1,4,2,0
127,1,1,4,3,0
96,3,2,1,1,0
15,1,1,3,3,0
53,3,1,2,1,0
125,2,1,1,2,0
98,3,1,4,4,0
107,2,2,1,4,0
114,3,1,1,2,0
60,1,2,4,2,0
47,1,1,1,2,0
2,3,1,4,1,0
82,1,1,3,2,0
30,1,4,1,1,0
3,2,4,2,2,0
33,1,1,1,2,0
124,2,3,1,3,0
29,3,2,1,1,0
101,2,1,3,1,0
116,2,3,4,1,0
19,3,1,3,2,0
80,2,2,4,3,0
32,1,2,1,3,0
42,3,2,1,3,0
1,2,1,3,2,0
71,2,1,3,2,0
5,1,1,3,2,0
6,3,1,3,2,0
99,3,3,2,1,0
26,3,2,1,3,0
72,1,1,3,2,0
