,0_1,0_2,0_3,1_1,1_2,1_3,1_4,2_1,2_2,2_3,2_4,3_1,3_2,3_3,3_4,output
49,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
31,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
50,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
24,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
46,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
14,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
115,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
7,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
17,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
78,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
54,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
112,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
57,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
113,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
74,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
121,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
106,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
100,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
118,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
37,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
66,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1
86,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1
45,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
87,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
13,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1
85,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
38,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
