,0,1,2,3,4,5,6,7,output
10433,great_pret,improper,complete,2,convenient,1,nonprob,not_recom,1
368,usual,proper,completed,3,critical,0,problematic,not_recom,1
4862,pretentious,proper,incomplete,3,convenient,0,nonprob,not_recom,1
6671,pretentious,improper,incomplete,more,less_conv,1,nonprob,not_recom,1
6056,pretentious,improper,complete,1,convenient,0,problematic,not_recom,1
8318,pretentious,very_crit,incomplete,3,convenient,0,nonprob,not_recom,1
2156,usual,improper,completed,more,critical,1,slightly_prob,not_recom,1
8591,pretentious,very_crit,foster,more,convenient,0,slightly_prob,not_recom,1
7847,pretentious,very_crit,complete,2,convenient,1,problematic,not_recom,1
4052,usual,very_crit,incomplete,more,convenient,0,nonprob,not_recom,1
2240,usual,improper,incomplete,2,less_conv,0,problematic,not_recom,1
8600,pretentious,very_crit,foster,more,convenient,1,slightly_prob,not_recom,1
5885,pretentious,less_proper,foster,1,critical,1,problematic,not_recom,1
9881,great_pret,less_proper,completed,3,critical,1,problematic,not_recom,1
7910,pretentious,very_crit,complete,3,less_conv,0,problematic,not_recom,1
4235,usual,very_crit,foster,3,less_conv,0,slightly_prob,not_recom,1
3350,usual,critical,foster,3,convenient,0,nonprob,not_recom,1
7430,pretentious,critical,incomplete,2,less_conv,1,slightly_prob,not_recom,1
6863,pretentious,improper,foster,more,convenient,0,slightly_prob,not_recom,1
6494,pretentious,improper,incomplete,1,convenient,1,slightly_prob,not_recom,1
12518,great_pret,very_crit,completed,more,critical,0,problematic,not_recom,1
8783,great_pret,proper,complete,3,less_conv,1,problematic,not_recom,1
3965,usual,very_crit,incomplete,2,less_conv,0,slightly_prob,not_recom,1
12653,great_pret,very_crit,incomplete,3,convenient,1,problematic,not_recom,1
5165,pretentious,proper,foster,more,less_conv,1,problematic,not_recom,1
7244,pretentious,critical,completed,3,convenient,0,problematic,not_recom,1
2735,usual,critical,complete,3,less_conv,1,problematic,not_recom,1
8483,pretentious,very_crit,foster,2,convenient,0,slightly_prob,not_recom,1
2234,usual,improper,incomplete,2,less_conv,0,nonprob,not_recom,1
11816,great_pret,critical,incomplete,3,critical,0,problematic,not_recom,1
2609,usual,critical,complete,1,convenient,1,problematic,not_recom,1
10382,great_pret,improper,complete,1,convenient,1,slightly_prob,not_recom,1
1250,usual,less_proper,completed,more,convenient,0,problematic,not_recom,1
11873,great_pret,critical,incomplete,more,critical,1,nonprob,not_recom,1
3728,usual,very_crit,completed,2,convenient,0,nonprob,not_recom,1
12887,great_pret,very_crit,foster,3,less_conv,1,problematic,not_recom,1
2645,usual,critical,complete,1,critical,1,problematic,not_recom,1
7811,pretentious,very_crit,complete,1,less_conv,1,problematic,not_recom,1
3806,usual,very_crit,completed,3,less_conv,0,problematic,not_recom,1
10760,great_pret,improper,completed,more,convenient,1,slightly_prob,not_recom,1
2255,usual,improper,incomplete,2,critical,0,slightly_prob,not_recom,1
8711,great_pret,proper,complete,2,convenient,1,problematic,not_recom,1
11279,great_pret,critical,complete,1,critical,1,nonprob,not_recom,1
9596,great_pret,less_proper,complete,2,critical,0,nonprob,not_recom,1
8663,great_pret,proper,complete,1,less_conv,0,slightly_prob,not_recom,1
8573,pretentious,very_crit,foster,3,critical,0,slightly_prob,not_recom,1
3074,usual,critical,incomplete,1,critical,1,slightly_prob,not_recom,1
2693,usual,critical,complete,2,critical,1,nonprob,not_recom,1
3662,usual,very_crit,complete,more,critical,0,problematic,not_recom,1
5411,pretentious,less_proper,completed,1,convenient,1,nonprob,not_recom,1
3353,usual,critical,foster,3,convenient,0,slightly_prob,not_recom,1
7547,pretentious,critical,incomplete,more,critical,0,slightly_prob,not_recom,1
890,usual,less_proper,complete,1,less_conv,0,problematic,not_recom,1
5756,pretentious,less_proper,incomplete,3,less_conv,1,slightly_prob,not_recom,1
2588,usual,improper,foster,more,critical,1,slightly_prob,not_recom,1
5234,pretentious,less_proper,complete,1,critical,1,slightly_prob,not_recom,1
2531,usual,improper,foster,3,critical,1,nonprob,not_recom,1
12368,great_pret,very_crit,completed,2,convenient,0,nonprob,not_recom,1
11393,great_pret,critical,complete,3,critical,1,problematic,not_recom,1
4493,pretentious,proper,complete,more,convenient,1,nonprob,not_recom,1
9233,great_pret,proper,incomplete,3,critical,1,problematic,not_recom,1
1487,usual,less_proper,incomplete,more,less_conv,1,nonprob,not_recom,1
4829,pretentious,proper,incomplete,2,less_conv,0,slightly_prob,not_recom,1
7940,pretentious,very_crit,complete,more,convenient,0,nonprob,not_recom,1
926,usual,less_proper,complete,2,convenient,0,problematic,not_recom,1
6686,pretentious,improper,incomplete,more,critical,0,problematic,not_recom,1
4181,usual,very_crit,foster,2,less_conv,0,slightly_prob,not_recom,1
7391,pretentious,critical,incomplete,1,critical,1,nonprob,not_recom,1
5621,pretentious,less_proper,incomplete,1,convenient,0,slightly_prob,not_recom,1
6236,pretentious,improper,complete,more,less_conv,0,problematic,not_recom,1
8312,pretentious,very_crit,incomplete,2,critical,1,slightly_prob,not_recom,1
11828,great_pret,critical,incomplete,more,convenient,0,nonprob,not_recom,1
1856,usual,improper,complete,3,less_conv,0,nonprob,not_recom,1
6161,pretentious,improper,complete,3,convenient,0,slightly_prob,not_recom,1
10679,great_pret,improper,completed,2,critical,0,slightly_prob,not_recom,1
3449,usual,critical,foster,more,critical,1,nonprob,not_recom,1
12005,great_pret,critical,foster,3,convenient,1,problematic,not_recom,1
1232,usual,less_proper,completed,3,critical,0,problematic,not_recom,1
4673,pretentious,proper,completed,3,less_conv,1,nonprob,not_recom,1
2384,usual,improper,foster,1,convenient,0,problematic,not_recom,1
8867,great_pret,proper,completed,1,convenient,1,nonprob,not_recom,1
12587,great_pret,very_crit,incomplete,2,convenient,0,slightly_prob,not_recom,1
3062,usual,critical,incomplete,1,critical,0,nonprob,not_recom,1
7313,pretentious,critical,completed,more,less_conv,0,slightly_prob,not_recom,1
12779,great_pret,very_crit,foster,1,less_conv,1,problematic,not_recom,1
6113,pretentious,improper,complete,2,convenient,1,nonprob,not_recom,1
12662,great_pret,very_crit,incomplete,3,less_conv,0,problematic,not_recom,1
11003,great_pret,improper,incomplete,more,critical,0,slightly_prob,not_recom,1
404,usual,proper,completed,more,less_conv,0,problematic,not_recom,1
3089,usual,critical,incomplete,2,convenient,1,nonprob,not_recom,1
8180,pretentious,very_crit,completed,more,less_conv,0,problematic,not_recom,1
4088,usual,very_crit,incomplete,more,critical,0,nonprob,not_recom,1
11588,great_pret,critical,completed,3,less_conv,1,slightly_prob,not_recom,1
3320,usual,critical,foster,2,less_conv,0,problematic,not_recom,1
8756,great_pret,proper,complete,3,convenient,0,problematic,not_recom,1
7742,pretentious,critical,foster,more,less_conv,0,nonprob,not_recom,1
10655,great_pret,improper,completed,2,convenient,1,problematic,not_recom,1
11510,great_pret,critical,completed,2,convenient,0,problematic,not_recom,1
12248,great_pret,very_crit,complete,3,critical,0,problematic,not_recom,1
9065,great_pret,proper,completed,more,critical,1,nonprob,not_recom,1
