,0,1,2,3,4,5,6,7,output
8932,great_pret,proper,completed,2,less_conv,0,slightly_prob,priority,0
3051,usual,critical,incomplete,1,less_conv,1,nonprob,recommended,0
12036,great_pret,critical,foster,3,critical,1,slightly_prob,recommended,0
7401,pretentious,critical,incomplete,2,convenient,0,slightly_prob,recommended,0
12681,great_pret,very_crit,incomplete,3,critical,1,nonprob,recommended,0
1278,usual,less_proper,completed,more,critical,0,nonprob,recommended,0
5865,pretentious,less_proper,foster,1,less_conv,1,problematic,recommended,0
4636,pretentious,proper,completed,2,critical,1,nonprob,priority,0
12771,great_pret,very_crit,foster,1,less_conv,1,nonprob,recommended,0
11358,great_pret,critical,complete,3,less_conv,0,nonprob,recommended,0
7965,pretentious,very_crit,complete,more,less_conv,1,nonprob,recommended,0
4416,pretentious,proper,complete,2,critical,0,problematic,recommended,0
4972,pretentious,proper,foster,1,convenient,0,slightly_prob,priority,0
9187,great_pret,proper,incomplete,3,convenient,0,problematic,priority,0
3897,usual,very_crit,incomplete,1,convenient,1,nonprob,recommended,0
8986,great_pret,proper,completed,3,less_conv,0,slightly_prob,priority,0
9999,great_pret,less_proper,incomplete,2,convenient,1,nonprob,recommended,0
9546,great_pret,less_proper,complete,1,critical,0,problematic,recommended,0
595,usual,proper,incomplete,more,convenient,0,nonprob,priority,0
1975,usual,improper,completed,1,less_conv,1,slightly_prob,priority,0
3709,usual,very_crit,completed,1,critical,0,nonprob,priority,0
181,usual,proper,complete,more,less_conv,0,nonprob,priority,0
601,usual,proper,incomplete,more,convenient,0,problematic,priority,0
166,usual,proper,complete,more,convenient,0,slightly_prob,priority,0
8908,great_pret,proper,completed,1,critical,1,problematic,priority,0
2349,usual,improper,incomplete,more,less_conv,1,nonprob,recommended,0
12901,great_pret,very_crit,foster,3,critical,1,slightly_prob,priority,0
5479,pretentious,less_proper,completed,2,less_conv,0,problematic,priority,0
8269,pretentious,very_crit,incomplete,2,convenient,0,problematic,priority,0
11844,great_pret,critical,incomplete,more,less_conv,0,nonprob,recommended,0
3630,usual,very_crit,complete,more,convenient,1,slightly_prob,recommended,0
9568,great_pret,less_proper,complete,2,convenient,1,nonprob,priority,0
4408,pretentious,proper,complete,2,less_conv,1,problematic,priority,0
9856,great_pret,less_proper,completed,3,less_conv,1,nonprob,priority,0
2335,usual,improper,incomplete,more,convenient,1,slightly_prob,priority,0
10080,great_pret,less_proper,incomplete,3,critical,0,nonprob,recommended,0
7915,pretentious,very_crit,complete,3,less_conv,1,slightly_prob,priority,0
859,usual,proper,foster,more,critical,1,slightly_prob,priority,0
5205,pretentious,less_proper,complete,1,less_conv,0,slightly_prob,recommended,0
11274,great_pret,critical,complete,1,critical,0,problematic,recommended,0
6444,pretentious,improper,completed,more,less_conv,0,nonprob,recommended,0
7083,pretentious,critical,complete,more,convenient,1,nonprob,recommended,0
10824,great_pret,improper,incomplete,1,less_conv,0,problematic,recommended,0
7983,pretentious,very_crit,complete,more,critical,1,nonprob,recommended,0
2110,usual,improper,completed,more,convenient,0,slightly_prob,priority,0
802,usual,proper,foster,3,critical,1,nonprob,priority,0
8563,pretentious,very_crit,foster,3,less_conv,1,slightly_prob,priority,0
4297,usual,very_crit,foster,more,less_conv,1,slightly_prob,priority,0
4980,pretentious,proper,foster,1,convenient,1,slightly_prob,recommended,0
7728,pretentious,critical,foster,more,convenient,0,problematic,recommended,0
7962,pretentious,very_crit,complete,more,less_conv,0,problematic,recommended,0
2151,usual,improper,completed,more,critical,1,nonprob,recommended,0
5484,pretentious,less_proper,completed,2,less_conv,1,slightly_prob,recommended,0
8499,pretentious,very_crit,foster,2,less_conv,0,slightly_prob,recommended,0
1831,usual,improper,complete,2,critical,1,slightly_prob,priority,0
6301,pretentious,improper,completed,1,critical,0,nonprob,priority,0
4647,pretentious,proper,completed,3,convenient,0,slightly_prob,recommended,0
3996,usual,very_crit,incomplete,3,convenient,0,nonprob,recommended,0
6886,pretentious,improper,foster,more,less_conv,1,nonprob,priority,0
2181,usual,improper,incomplete,1,less_conv,0,slightly_prob,recommended,0
11542,great_pret,critical,completed,2,critical,0,slightly_prob,priority,0
5788,pretentious,less_proper,incomplete,more,convenient,1,nonprob,priority,0
709,usual,proper,foster,2,convenient,0,problematic,priority,0
9435,great_pret,proper,foster,3,critical,0,slightly_prob,recommended,0
10887,great_pret,improper,incomplete,2,less_conv,1,problematic,recommended,0
1321,usual,less_proper,incomplete,1,less_conv,0,problematic,priority,0
76,usual,proper,complete,2,less_conv,0,slightly_prob,priority,0
12733,great_pret,very_crit,incomplete,more,critical,0,problematic,priority,0
11820,great_pret,critical,incomplete,3,critical,1,slightly_prob,recommended,0
6084,pretentious,improper,complete,1,critical,0,nonprob,recommended,0
8095,pretentious,very_crit,completed,2,critical,1,slightly_prob,priority,0
703,usual,proper,foster,2,convenient,0,nonprob,priority,0
4881,pretentious,proper,incomplete,3,less_conv,0,slightly_prob,recommended,0
12858,great_pret,very_crit,foster,3,convenient,0,problematic,recommended,0
9300,great_pret,proper,foster,1,convenient,1,slightly_prob,recommended,0
9087,great_pret,proper,incomplete,1,convenient,1,problematic,recommended,0
5769,pretentious,less_proper,incomplete,3,critical,1,nonprob,recommended,0
370,usual,proper,completed,3,critical,1,nonprob,priority,0
6100,pretentious,improper,complete,1,critical,1,problematic,priority,0
2596,usual,critical,complete,1,convenient,0,slightly_prob,priority,0
10578,great_pret,improper,complete,more,critical,1,slightly_prob,recommended,0
1297,usual,less_proper,incomplete,1,convenient,0,nonprob,priority,0
1141,usual,less_proper,completed,2,convenient,0,problematic,priority,0
4918,pretentious,proper,incomplete,more,convenient,0,slightly_prob,priority,0
5527,pretentious,less_proper,completed,3,less_conv,0,nonprob,priority,0
12571,great_pret,very_crit,incomplete,1,critical,0,problematic,priority,0
4444,pretentious,proper,complete,3,convenient,1,problematic,priority,0
2943,usual,critical,completed,3,less_conv,1,nonprob,recommended,0
4872,pretentious,proper,incomplete,3,convenient,1,slightly_prob,recommended,0
637,usual,proper,incomplete,more,critical,0,problematic,priority,0
282,usual,proper,completed,2,convenient,1,slightly_prob,recommended,0
7143,pretentious,critical,completed,1,convenient,1,problematic,recommended,0
4935,pretentious,proper,incomplete,more,less_conv,0,slightly_prob,recommended,0
342,usual,proper,completed,3,less_conv,0,nonprob,recommended,0
8626,pretentious,very_crit,foster,more,critical,0,slightly_prob,priority,0
8758,great_pret,proper,complete,3,convenient,1,nonprob,priority,0
1039,usual,less_proper,complete,more,convenient,1,slightly_prob,priority,0
1561,usual,less_proper,foster,1,critical,1,slightly_prob,priority,0
7560,pretentious,critical,foster,1,convenient,0,nonprob,recommended,0
12489,great_pret,very_crit,completed,more,convenient,1,problematic,recommended,0
8068,pretentious,very_crit,completed,2,less_conv,0,slightly_prob,priority,0
8547,pretentious,very_crit,foster,3,convenient,1,problematic,recommended,0
7219,pretentious,critical,completed,2,critical,0,nonprob,priority,0
12492,great_pret,very_crit,completed,more,less_conv,0,nonprob,recommended,0
11005,great_pret,improper,incomplete,more,critical,0,problematic,priority,0
1201,usual,less_proper,completed,3,convenient,1,slightly_prob,priority,0
2230,usual,improper,incomplete,2,convenient,1,problematic,priority,0
10296,great_pret,less_proper,foster,3,critical,0,nonprob,recommended,0
10059,great_pret,less_proper,incomplete,3,convenient,1,problematic,recommended,0
12199,great_pret,very_crit,complete,2,critical,1,slightly_prob,priority,0
12094,great_pret,critical,foster,more,critical,1,problematic,priority,0
2796,usual,critical,complete,more,critical,0,problematic,recommended,0
1692,usual,less_proper,foster,more,less_conv,0,nonprob,recommended,0
9331,great_pret,proper,foster,1,critical,0,problematic,priority,0
10770,great_pret,improper,completed,more,less_conv,0,problematic,recommended,0
7770,pretentious,critical,foster,more,critical,1,slightly_prob,recommended,0
12831,great_pret,very_crit,foster,2,less_conv,1,problematic,recommended,0
87,usual,proper,complete,2,less_conv,1,problematic,recommended,0
6733,pretentious,improper,foster,1,critical,0,nonprob,priority,0
12439,great_pret,very_crit,completed,3,less_conv,0,nonprob,priority,0
8517,pretentious,very_crit,foster,2,critical,0,slightly_prob,recommended,0
11632,great_pret,critical,completed,more,less_conv,0,slightly_prob,priority,0
7204,pretentious,critical,completed,2,less_conv,0,slightly_prob,priority,0
6808,pretentious,improper,foster,3,convenient,0,slightly_prob,priority,0
6952,pretentious,critical,complete,1,critical,0,slightly_prob,priority,0
12429,great_pret,very_crit,completed,3,convenient,1,nonprob,recommended,0
144,usual,proper,complete,3,critical,0,nonprob,recommended,0
9949,great_pret,less_proper,incomplete,1,convenient,1,slightly_prob,priority,0
1440,usual,less_proper,incomplete,3,critical,0,nonprob,recommended,0
489,usual,proper,incomplete,2,convenient,0,slightly_prob,recommended,0
4723,pretentious,proper,completed,more,less_conv,0,problematic,priority,0
2448,usual,improper,foster,2,less_conv,0,nonprob,recommended,0
1315,usual,less_proper,incomplete,1,less_conv,0,nonprob,priority,0
6075,pretentious,improper,complete,1,less_conv,1,nonprob,recommended,0
6961,pretentious,critical,complete,1,critical,1,slightly_prob,priority,0
234,usual,proper,completed,1,less_conv,0,nonprob,recommended,0
7608,pretentious,critical,foster,1,critical,1,slightly_prob,recommended,0
3975,usual,very_crit,incomplete,2,less_conv,1,problematic,recommended,0
4587,pretentious,proper,completed,1,critical,1,problematic,recommended,0
9534,great_pret,less_proper,complete,1,less_conv,1,slightly_prob,recommended,0
6112,pretentious,improper,complete,2,convenient,1,nonprob,priority,0
11491,great_pret,critical,completed,1,critical,0,problematic,priority,0
916,usual,less_proper,complete,1,critical,1,problematic,priority,0
10681,great_pret,improper,completed,2,critical,0,problematic,priority,0
7963,pretentious,very_crit,complete,more,less_conv,0,problematic,priority,0
2580,usual,improper,foster,more,critical,0,problematic,recommended,0
4983,pretentious,proper,foster,1,convenient,1,problematic,recommended,0
6811,pretentious,improper,foster,3,convenient,0,problematic,priority,0
6165,pretentious,improper,complete,3,convenient,1,nonprob,recommended,0
6933,pretentious,critical,complete,1,less_conv,0,slightly_prob,recommended,0
1782,usual,improper,complete,2,convenient,0,nonprob,recommended,0
10095,great_pret,less_proper,incomplete,3,critical,1,problematic,recommended,0
7788,pretentious,very_crit,complete,1,convenient,1,slightly_prob,recommended,0
12703,great_pret,very_crit,incomplete,more,convenient,1,slightly_prob,priority,0
670,usual,proper,foster,1,less_conv,0,slightly_prob,priority,0
7027,pretentious,critical,complete,3,convenient,0,problematic,priority,0
3877,usual,very_crit,completed,more,critical,0,problematic,priority,0
8634,pretentious,very_crit,foster,more,critical,1,slightly_prob,recommended,0
3378,usual,critical,foster,3,less_conv,1,slightly_prob,recommended,0
888,usual,less_proper,complete,1,less_conv,0,problematic,recommended,0
5770,pretentious,less_proper,incomplete,3,critical,1,nonprob,priority,0
3583,usual,very_crit,complete,3,less_conv,0,nonprob,priority,0
5917,pretentious,less_proper,foster,2,less_conv,1,slightly_prob,priority,0
12540,great_pret,very_crit,incomplete,1,convenient,1,slightly_prob,recommended,0
12660,great_pret,very_crit,incomplete,3,less_conv,0,problematic,recommended,0
11569,great_pret,critical,completed,3,convenient,1,slightly_prob,priority,0
12810,great_pret,very_crit,foster,2,convenient,1,slightly_prob,recommended,0
6765,pretentious,improper,foster,2,convenient,1,problematic,recommended,0
1270,usual,less_proper,completed,more,less_conv,1,nonprob,priority,0
10725,great_pret,improper,completed,3,less_conv,1,problematic,recommended,0
10881,great_pret,improper,incomplete,2,less_conv,1,nonprob,recommended,0
936,usual,less_proper,complete,2,less_conv,0,nonprob,recommended,0
5127,pretentious,proper,foster,3,critical,1,problematic,recommended,0
949,usual,less_proper,complete,2,less_conv,1,slightly_prob,priority,0
9319,great_pret,proper,foster,1,less_conv,1,slightly_prob,priority,0
2710,usual,critical,complete,3,convenient,1,nonprob,priority,0
8892,great_pret,proper,completed,1,critical,0,nonprob,recommended,0
5821,pretentious,less_proper,incomplete,more,critical,0,problematic,priority,0
12595,great_pret,very_crit,incomplete,2,convenient,1,slightly_prob,priority,0
1134,usual,less_proper,completed,2,convenient,0,nonprob,recommended,0
4660,pretentious,proper,completed,3,convenient,1,problematic,priority,0
3478,usual,very_crit,complete,1,less_conv,0,slightly_prob,priority,0
11071,great_pret,improper,foster,2,convenient,0,nonprob,priority,0
8292,pretentious,very_crit,incomplete,2,less_conv,1,slightly_prob,recommended,0
5019,pretentious,proper,foster,1,critical,1,problematic,recommended,0
