,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,output
5,5,0,2,1,0,2,0,0,1,0,1,1,0,1,1,0,0,0,1,1,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
13,6,0,0,1,1,3,3,0,1,0,1,1,0,1,1,0,0,0,1,0,0,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0
11,4,0,0,1,0,2,3,0,1,1,1,1,0,1,1,0,0,0,1,0,0,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0
22,2,1,2,0,0,2,1,0,0,2,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0
1,5,0,2,1,0,3,1,0,1,2,1,1,0,1,1,0,0,0,1,1,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
2,3,0,2,1,0,2,0,1,1,1,1,1,0,1,1,0,0,0,1,0,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
25,4,0,2,0,1,0,1,1,0,2,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0
3,6,0,2,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
21,2,1,2,0,0,3,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
26,2,1,2,0,0,3,1,1,0,2,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0
18,6,0,0,2,0,1,3,0,1,0,1,1,0,1,1,0,0,0,1,0,0,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0
29,0,1,2,0,0,1,1,1,1,2,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
20,0,1,2,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0
7,3,0,2,1,0,1,0,1,1,2,1,1,0,1,1,0,0,0,1,0,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
10,6,0,0,2,1,0,2,0,0,0,1,1,0,1,1,0,0,0,1,1,0,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0
14,3,0,0,2,1,0,2,0,0,1,1,1,0,1,1,0,0,0,1,0,0,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0
19,5,0,0,2,1,3,3,0,1,2,1,1,0,1,1,0,0,0,1,0,0,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0
6,3,0,2,1,0,2,1,0,0,1,1,1,0,1,1,0,0,0,1,1,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
43,1,1,2,1,1,2,3,0,1,1,1,1,0,1,1,0,0,0,1,0,2,2,0,1,0,0,0,1,1,0,0,0,0,0,1,1
32,3,1,2,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,1,1
39,3,1,1,0,0,2,1,1,1,2,1,1,0,1,1,0,0,0,1,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,1,1
46,0,1,2,1,0,3,1,0,0,2,1,1,0,1,1,0,0,0,1,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,1,1
34,1,1,2,0,0,3,1,0,1,2,1,1,0,1,1,0,0,0,1,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,1,1
37,2,1,2,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,1,1
40,0,1,2,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,2,0,1,0,0,0,1,1,0,0,0,0,0,1,1
42,1,1,2,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,1,1
33,2,1,2,1,1,1,1,1,0,2,1,1,0,1,1,0,0,0,1,0,1,2,0,1,0,0,0,1,1,0,0,0,0,0,1,1
36,0,1,2,1,0,3,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,1,1
