,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,output
454,A11,A32,A40,A61,A74,A93,A102,A122,A143,A152,A173,0,0,0.2569530922366421,0.5478780060258055,-0.8701833340815202,0.1405047057619635,-0.3998318554051079,-0.7049259983890862,-0.4282895663715403,0
979,A12,A31,A40,A62,A73,A94,A101,A122,A143,A151,A173,1,0,-0.4897623840726178,-0.7114592930898858,-0.8701833340815202,-0.7659772668958666,-0.9275465787730462,-0.7049259983890862,-0.4282895663715403,0
578,A12,A34,A40,A61,A72,A91,A101,A123,A143,A152,A173,1,0,1.2525737273156552,-0.15994540695872456,0.9184771676276684,1.0469866784197936,-0.7516416709837335,1.0270789116578083,-0.4282895663715403,0
63,A12,A30,A49,A61,A73,A93,A101,A123,A143,A152,A173,0,0,2.2481943623946683,3.9519521463880634,-0.8701833340815202,-0.7659772668958666,-0.9275465787730462,-0.7049259983890862,-0.4282895663715403,0
761,A11,A34,A42,A61,A73,A92,A101,A121,A143,A151,A173,1,0,-0.2408572253028645,-0.4066379935572388,0.9184771676276684,1.0469866784197936,-1.0154990326677027,1.0270789116578083,-0.4282895663715403,0
13,A11,A34,A40,A61,A75,A93,A101,A123,A143,A152,A172,1,0,0.2569530922366421,-0.7344981122406091,0.9184771676276684,1.0469866784197936,2.150789307539928,1.0270789116578083,-0.4282895663715403,0
181,A12,A33,A49,A61,A73,A91,A101,A121,A142,A152,A174,0,0,1.2525737273156552,0.41956950552485417,-0.8701833340815202,-0.7659772668958666,-0.4877843092997643,1.0270789116578083,-0.4282895663715403,0
295,A12,A32,A42,A61,A72,A92,A101,A123,A143,A152,A173,0,0,2.2481943623946683,2.3707802659053443,-1.7645135849361149,-0.7659772668958666,-0.8395941248783899,-0.7049259983890862,-0.4282895663715403,0
35,A12,A34,A43,A61,A72,A93,A101,A122,A143,A152,A172,1,0,1.9992892036249152,0.5227125266457847,0.9184771676276684,-0.7659772668958666,-0.9275465787730462,1.0270789116578083,-0.4282895663715403,0
711,A11,A31,A46,A61,A75,A92,A101,A124,A143,A153,A173,1,0,-1.2364778603818776,-0.7348525556121586,0.9184771676276684,1.0469866784197936,-0.048022039826482336,-0.7049259983890862,-0.4282895663715403,0
182,A11,A31,A40,A65,A73,A93,A101,A122,A143,A152,A172,1,0,0.008047933466888799,-0.575707481786393,0.9184771676276684,-0.7659772668958666,0.3917402296467996,1.0270789116578083,2.3348689263480744,0
972,A11,A31,A40,A61,A71,A92,A102,A124,A143,A151,A171,1,0,0.2569530922366421,-0.7366247724699065,-1.7645135849361149,1.0469866784197936,-0.5757367631944207,1.0270789116578083,-0.4282895663715403,0
647,A14,A32,A40,A63,A73,A92,A101,A122,A143,A152,A173,1,0,-0.738667542842371,-0.6682172017608358,-0.8701833340815202,-0.7659772668958666,-0.8395941248783899,-0.7049259983890862,-0.4282895663715403,0
308,A12,A32,A42,A61,A73,A92,A101,A121,A143,A152,A173,1,0,-1.0705410878687087,-0.7210292641217246,0.024146916773074168,1.0469866784197936,-1.0154990326677027,-0.7049259983890862,-0.4282895663715403,0
