,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,output
146,A11,A34,A40,A61,A75,A92,A101,A124,A143,A152,A173,0,0,-1.2364778603818776,-0.8546544151959198,-1.7645135849361149,1.0469866784197936,0.3037877757521432,1.0270789116578083,-0.4282895663715403,1
264,A14,A34,A40,A61,A75,A93,A101,A121,A143,A152,A172,1,1,-0.90460431535554,-0.7231559243510222,0.024146916773074168,1.0469866784197936,-0.3118794015104515,1.0270789116578083,2.3348689263480744,1
303,A11,A34,A40,A61,A74,A93,A102,A122,A143,A152,A173,0,0,-0.90460431535554,-0.7915634950600929,0.9184771676276684,0.1405047057619635,1.1833123146987072,1.0270789116578083,-0.4282895663715403,1
255,A12,A33,A43,A65,A73,A93,A101,A121,A143,A152,A172,1,0,3.2438149974736814,1.4697852154262876,-1.7645135849361149,-1.6724592395536968,-0.7516416709837335,-0.7049259983890862,-0.4282895663715403,1
82,A14,A32,A49,A62,A73,A92,A101,A122,A143,A151,A172,1,0,-0.2408572253028645,-0.6037085081388105,0.024146916773074168,1.0469866784197936,-1.0154990326677027,-0.7049259983890862,-0.4282895663715403,1
489,A14,A32,A40,A61,A73,A93,A103,A122,A143,A151,A173,1,0,-1.2364778603818776,0.08745606638288886,-0.8701833340815202,0.1405047057619635,-0.8395941248783899,-0.7049259983890862,-0.4282895663715403,1
823,A11,A34,A40,A61,A75,A93,A101,A121,A143,A152,A172,1,0,-1.0705410878687087,-0.9003776101258169,0.9184771676276684,1.0469866784197936,1.0074074069093943,1.0270789116578083,-0.4282895663715403,1
874,A11,A32,A42,A61,A73,A93,A102,A122,A143,A152,A172,1,0,-0.738667542842371,0.1129759891344593,-0.8701833340815202,-0.7659772668958666,-0.5757367631944207,-0.7049259983890862,2.3348689263480744,1
778,A14,A34,A41,A64,A75,A93,A101,A123,A143,A152,A174,0,0,1.2525737273156552,0.8647503801911385,0.9184771676276684,-0.7659772668958666,0.21583532185748688,1.0270789116578083,-0.4282895663715403,1
292,A11,A34,A41,A61,A75,A92,A101,A124,A143,A153,A174,0,0,0.2569530922366421,1.115696287248248,-0.8701833340815202,1.0469866784197936,0.7435500452254252,1.0270789116578083,2.3348689263480744,1
821,A13,A32,A43,A61,A73,A94,A101,A123,A143,A152,A173,1,0,-0.738667542842371,-0.09047450613500503,0.024146916773074168,-1.6724592395536968,-1.0154990326677027,-0.7049259983890862,-0.4282895663715403,1
58,A13,A32,A40,A61,A75,A92,A101,A123,A143,A152,A174,1,0,-0.2408572253028645,-0.4644122631198218,0.024146916773074168,-0.7659772668958666,-1.1034514865623593,-0.7049259983890862,-0.4282895663715403,1
104,A14,A32,A41,A65,A72,A94,A101,A123,A143,A151,A173,0,0,-0.738667542842371,-0.2928616712898206,-0.8701833340815202,1.0469866784197936,-0.8395941248783899,-0.7049259983890862,-0.4282895663715403,1
764,A14,A34,A40,A62,A74,A94,A101,A122,A143,A152,A173,0,0,0.2569530922366421,-0.286481690601928,0.9184771676276684,0.1405047057619635,-0.7516416709837335,1.0270789116578083,-0.4282895663715403,1
350,A14,A32,A44,A61,A72,A92,A101,A121,A143,A151,A173,0,0,-0.9875727016121244,-0.7213837074932742,-1.7645135849361149,1.0469866784197936,-1.1034514865623593,-0.7049259983890862,-0.4282895663715403,1
490,A14,A34,A43,A61,A75,A93,A101,A124,A143,A152,A173,1,0,-0.738667542842371,-0.4739822341516608,-0.8701833340815202,-0.7659772668958666,-0.8395941248783899,1.0270789116578083,-0.4282895663715403,1
288,A12,A32,A43,A61,A73,A92,A103,A121,A143,A152,A173,0,0,-0.738667542842371,-0.7724235529964151,0.9184771676276684,1.0469866784197936,1.1833123146987072,1.0270789116578083,-0.4282895663715403,1
863,A14,A34,A42,A64,A72,A93,A101,A121,A142,A152,A172,0,0,0.5058582510063954,0.444734984904875,0.9184771676276684,-0.7659772668958666,-0.3118794015104515,1.0270789116578083,2.3348689263480744,1
202,A14,A33,A49,A61,A74,A93,A101,A123,A143,A152,A173,1,0,0.5058582510063954,0.6542110174906823,0.024146916773074168,1.0469866784197936,-0.8395941248783899,1.0270789116578083,-0.4282895663715403,1
300,A14,A32,A40,A61,A71,A92,A101,A121,A143,A152,A171,0,0,-1.2364778603818776,-0.9212897690472428,-1.7645135849361149,1.0469866784197936,1.6230745841719891,-0.7049259983890862,-0.4282895663715403,1
211,A14,A32,A43,A65,A75,A92,A101,A121,A143,A152,A172,0,0,1.2525737273156552,0.1998146151641087,-0.8701833340815202,1.0469866784197936,0.8315024991200816,-0.7049259983890862,-0.4282895663715403,1
325,A11,A34,A40,A61,A74,A93,A101,A121,A143,A152,A172,1,1,-1.0705410878687087,0.04492286179693813,-1.7645135849361149,1.0469866784197936,0.3037877757521432,1.0270789116578083,-0.4282895663715403,1
906,A11,A32,A40,A65,A74,A93,A102,A121,A143,A152,A172,1,1,0.008047933466888799,0.17429469241253828,-0.8701833340815202,-0.7659772668958666,-1.0154990326677027,-0.7049259983890862,-0.4282895663715403,1
31,A11,A32,A42,A61,A73,A93,A101,A123,A142,A152,A173,1,0,0.2569530922366421,0.26538663890078273,-0.8701833340815202,-0.7659772668958666,-0.7516416709837335,-0.7049259983890862,-0.4282895663715403,0
956,A13,A34,A43,A65,A75,A93,A101,A122,A142,A152,A172,1,0,0.7547634097761486,0.1363692516567322,0.9184771676276684,1.0469866784197936,1.1833123146987072,1.0270789116578083,-0.4282895663715403,1
868,A14,A32,A49,A65,A75,A93,A101,A122,A143,A152,A173,1,0,1.2525737273156552,1.4665952250823413,0.024146916773074168,-0.7659772668958666,0.12788286796283044,1.0270789116578083,-0.4282895663715403,1
179,A11,A34,A40,A61,A75,A93,A101,A121,A143,A152,A173,1,0,0.008047933466888799,-0.9570885495737512,0.9184771676276684,1.0469866784197936,2.5905515770132093,1.0270789116578083,-0.4282895663715403,1
994,A14,A32,A40,A65,A75,A93,A101,A123,A143,A152,A173,0,0,-0.738667542842371,-0.31235605672504807,0.9184771676276684,0.1405047057619635,1.2712647685933636,-0.7049259983890862,-0.4282895663715403,1
636,A14,A32,A43,A63,A74,A92,A101,A123,A143,A152,A173,1,0,0.2569530922366421,-0.6717616354763317,0.9184771676276684,-1.6724592395536968,-0.6636892170890771,-0.7049259983890862,-0.4282895663715403,1
758,A14,A32,A40,A61,A73,A93,A103,A121,A143,A152,A173,0,0,0.2569530922366421,-0.6657360981599887,-0.8701833340815202,-0.7659772668958666,-0.3998318554051079,-0.7049259983890862,-0.4282895663715403,1
855,A14,A32,A40,A62,A72,A94,A101,A121,A143,A152,A173,0,0,0.2569530922366421,-0.6370261850644721,0.9184771676276684,0.1405047057619635,-0.22392694761579512,-0.7049259983890862,-0.4282895663715403,1
599,A14,A33,A49,A61,A73,A93,A101,A124,A143,A153,A173,1,0,0.2569530922366421,0.2097390295674972,-1.7645135849361149,-0.7659772668958666,-0.3118794015104515,-0.7049259983890862,-0.4282895663715403,1
42,A12,A33,A45,A61,A73,A93,A101,A121,A143,A152,A172,0,0,-0.2408572253028645,1.0394909623650859,-0.8701833340815202,1.0469866784197936,0.7435500452254252,-0.7049259983890862,2.3348689263480744,1
110,A12,A33,A49,A62,A75,A91,A101,A123,A141,A152,A173,1,0,-1.2364778603818776,-0.6458872693532116,-1.7645135849361149,-0.7659772668958666,-0.3998318554051079,1.0270789116578083,2.3348689263480744,1
959,A12,A32,A42,A62,A75,A93,A101,A124,A143,A153,A173,1,0,0.2569530922366421,-0.07168900744287679,0.9184771676276684,1.0469866784197936,-0.4877843092997643,-0.7049259983890862,-0.4282895663715403,1
177,A11,A34,A43,A63,A75,A93,A101,A123,A143,A152,A173,1,0,-1.2364778603818776,-1.0396738551448057,0.9184771676276684,1.0469866784197936,1.4471696763826765,1.0270789116578083,-0.4282895663715403,1
795,A14,A32,A42,A62,A72,A92,A101,A122,A143,A151,A173,1,0,-0.9875727016121244,-0.3439015167929615,-0.8701833340815202,1.0469866784197936,-1.1914039404570154,-0.7049259983890862,-0.4282895663715403,1
391,A12,A32,A42,A64,A72,A92,A101,A121,A143,A151,A172,1,0,-0.738667542842371,-0.8110578804953203,-1.7645135849361149,1.0469866784197936,-1.4552613021409846,-0.7049259983890862,-0.4282895663715403,1
689,A11,A32,A40,A64,A73,A93,A101,A122,A143,A152,A173,1,0,-0.738667542842371,0.13459703479898424,-1.7645135849361149,0.1405047057619635,-0.3998318554051079,-0.7049259983890862,2.3348689263480744,1
393,A11,A34,A43,A61,A74,A92,A101,A123,A143,A152,A173,1,0,-1.2364778603818776,-0.4658300366060202,-1.7645135849361149,1.0469866784197936,-0.3998318554051079,-0.7049259983890862,-0.4282895663715403,1
427,A14,A34,A43,A64,A73,A93,A101,A121,A143,A152,A173,1,0,-0.2408572253028645,-0.7522202808180884,0.9184771676276684,0.1405047057619635,0.919454953014738,1.0270789116578083,-0.4282895663715403,1
458,A11,A32,A44,A61,A72,A92,A101,A121,A143,A152,A173,1,0,-1.2364778603818776,-1.0379016382870576,0.9184771676276684,-1.6724592395536968,-0.7516416709837335,-0.7049259983890862,-0.4282895663715403,0
16,A14,A34,A43,A65,A75,A93,A101,A122,A143,A152,A173,1,0,0.2569530922366421,-0.30030498209236195,0.9184771676276684,1.0469866784197936,1.5351221302773328,1.0270789116578083,-0.4282895663715403,1
694,A14,A32,A43,A61,A74,A93,A101,A123,A143,A152,A173,0,0,0.2569530922366421,-0.3499270541093045,0.9184771676276684,-0.7659772668958666,-0.6636892170890771,-0.7049259983890862,-0.4282895663715403,1
193,A14,A32,A43,A61,A74,A94,A101,A121,A143,A151,A173,1,0,-1.2364778603818776,-0.4123090875020322,-0.8701833340815202,-0.7659772668958666,-0.5757367631944207,-0.7049259983890862,-0.4282895663715403,1
461,A11,A32,A40,A61,A72,A93,A101,A121,A143,A152,A173,1,0,-0.4897623840726178,-0.5494786722917233,-0.8701833340815202,0.1405047057619635,0.03993041406817406,-0.7049259983890862,-0.4282895663715403,0
450,A14,A34,A41,A65,A73,A93,A101,A123,A143,A152,A174,0,0,1.2525737273156552,2.7585413143805946,0.9184771676276684,-0.7659772668958666,-0.4877843092997643,-0.7049259983890862,-0.4282895663715403,1
323,A11,A32,A42,A64,A73,A93,A101,A123,A143,A152,A173,1,0,-0.2408572253028645,-0.21701078977820845,0.9184771676276684,-0.7659772668958666,-0.6636892170890771,-0.7049259983890862,-0.4282895663715403,1
777,A11,A32,A43,A61,A74,A92,A103,A121,A143,A152,A173,1,0,-0.2408572253028645,0.08426607603894255,0.9184771676276684,-1.6724592395536968,-0.9275465787730462,-0.7049259983890862,-0.4282895663715403,1
108,A11,A32,A42,A65,A72,A92,A101,A122,A143,A152,A173,0,1,0.2569530922366421,1.5771815570058132,-1.7645135849361149,-0.7659772668958666,-0.4877843092997643,-0.7049259983890862,-0.4282895663715403,1
173,A12,A32,A43,A61,A73,A93,A103,A121,A143,A152,A173,1,1,-1.0705410878687087,-0.6582927873574473,0.9184771676276684,-0.7659772668958666,-0.22392694761579512,-0.7049259983890862,-0.4282895663715403,1
748,A14,A32,A41,A65,A73,A93,A101,A123,A143,A152,A173,1,0,0.008047933466888799,0.7006430991636786,-1.7645135849361149,0.1405047057619635,-0.8395941248783899,-0.7049259983890862,-0.4282895663715403,1
456,A11,A34,A40,A61,A73,A93,A101,A121,A143,A151,A173,1,0,-0.8216359290989554,0.22462565117258,-0.8701833340815202,-0.7659772668958666,0.03993041406817406,1.0270789116578083,2.3348689263480744,1
344,A13,A32,A40,A61,A72,A93,A103,A122,A143,A152,A172,1,0,-0.90460431535554,0.2402211595207619,-1.7645135849361149,-1.6724592395536968,0.12788286796283044,-0.7049259983890862,2.3348689263480744,1
294,A14,A34,A49,A65,A75,A91,A101,A123,A141,A152,A174,1,0,2.2481943623946683,1.544572766823251,0.9184771676276684,-0.7659772668958666,0.919454953014738,1.0270789116578083,2.3348689263480744,0
710,A14,A34,A43,A63,A75,A93,A101,A122,A141,A152,A174,0,0,-0.2408572253028645,-0.9365308340238748,0.9184771676276684,0.1405047057619635,-0.3118794015104515,1.0270789116578083,-0.4282895663715403,1
81,A14,A32,A43,A63,A75,A93,A101,A122,A142,A152,A173,0,0,-0.4897623840726178,-0.7295359050389147,0.9184771676276684,0.1405047057619635,1.0074074069093943,-0.7049259983890862,-0.4282895663715403,1
615,A12,A30,A49,A65,A73,A93,A101,A123,A141,A152,A174,0,0,2.2481943623946683,3.1661511916626233,-0.8701833340815202,-0.7659772668958666,1.095359860804051,-0.7049259983890862,-0.4282895663715403,0
895,A14,A33,A41,A65,A74,A93,A101,A123,A142,A152,A174,0,0,1.2525737273156552,2.0117291305256098,0.024146916773074168,-0.7659772668958666,-0.3998318554051079,-0.7049259983890862,2.3348689263480744,1
290,A14,A32,A49,A61,A73,A94,A101,A121,A143,A152,A173,0,1,-0.738667542842371,-0.7780946469412086,-0.8701833340815202,-0.7659772668958666,-0.8395941248783899,-0.7049259983890862,-0.4282895663715403,1
497,A14,A34,A42,A61,A74,A93,A101,A122,A143,A152,A173,1,0,0.2569530922366421,-0.5976829708224675,0.9184771676276684,0.1405047057619635,0.3917402296467996,1.0270789116578083,-0.4282895663715403,1
45,A14,A34,A40,A61,A72,A92,A101,A123,A143,A152,A174,1,0,-0.8216359290989554,-0.6657360981599887,0.9184771676276684,1.0469866784197936,-0.048022039826482336,1.0270789116578083,-0.4282895663715403,1
499,A13,A34,A40,A62,A75,A91,A101,A123,A143,A152,A173,0,0,-1.2364778603818776,-0.6905471341684599,-0.8701833340815202,1.0469866784197936,-0.6636892170890771,1.0270789116578083,2.3348689263480744,1
318,A14,A34,A46,A61,A73,A93,A101,A123,A143,A152,A173,1,0,-0.738667542842371,-0.9110109112723046,0.9184771676276684,-0.7659772668958666,-0.3118794015104515,1.0270789116578083,-0.4282895663715403,1
811,A12,A32,A43,A61,A74,A94,A103,A121,A141,A152,A172,1,0,-1.2364778603818776,-0.9879251228985656,0.024146916773074168,0.1405047057619635,-0.6636892170890771,-0.7049259983890862,-0.4282895663715403,1
964,A12,A32,A45,A61,A72,A94,A101,A122,A143,A152,A172,1,0,-1.2364778603818776,-0.9985584240450532,0.024146916773074168,-1.6724592395536968,-1.1914039404570154,-0.7049259983890862,-0.4282895663715403,1
40,A14,A32,A43,A63,A75,A93,A101,A123,A141,A152,A174,1,0,0.7547634097761486,-0.3325593289033746,0.9184771676276684,-0.7659772668958666,-0.4877843092997643,-0.7049259983890862,-0.4282895663715403,1
690,A11,A34,A42,A61,A73,A91,A101,A122,A143,A152,A173,1,0,-0.4897623840726178,-0.8138934274677171,-0.8701833340815202,0.1405047057619635,-0.9275465787730462,1.0270789116578083,-0.4282895663715403,1
638,A14,A32,A43,A61,A72,A92,A101,A123,A143,A152,A173,1,0,-0.738667542842371,-0.6302917610050297,0.9184771676276684,0.1405047057619635,-0.13597449372113873,-0.7049259983890862,2.3348689263480744,1
399,A14,A34,A43,A64,A73,A92,A101,A121,A143,A152,A172,1,0,0.2569530922366421,-0.6221395634593891,0.9184771676276684,-1.6724592395536968,0.6555975913307688,1.0270789116578083,-0.4282895663715403,1
836,A14,A32,A43,A65,A73,A92,A101,A123,A143,A152,A173,1,0,-0.738667542842371,-0.8454388875356305,0.9184771676276684,-0.7659772668958666,-1.2793563943516721,-0.7049259983890862,-0.4282895663715403,1
73,A12,A34,A49,A61,A74,A92,A101,A121,A141,A152,A172,1,0,1.7503840448551615,0.9508801194776888,-0.8701833340815202,-1.6724592395536968,0.479692683541456,1.0270789116578083,-0.4282895663715403,1
163,A12,A32,A40,A61,A71,A93,A101,A124,A141,A153,A174,0,0,-0.90460431535554,1.4307964445558328,-0.8701833340815202,1.0469866784197936,3.030313846486492,-0.7049259983890862,-0.4282895663715403,0
898,A14,A32,A42,A65,A74,A92,A101,A121,A141,A151,A172,1,0,-0.4897623840726178,-0.38466250452116413,-1.7645135849361149,1.0469866784197936,-0.22392694761579512,-0.7049259983890862,-0.4282895663715403,1
147,A14,A34,A40,A62,A74,A92,A101,A123,A143,A152,A173,0,0,-0.738667542842371,-0.9177453353317468,0.9184771676276684,0.1405047057619635,1.3592172224880201,1.0270789116578083,-0.4282895663715403,1
117,A11,A34,A42,A65,A72,A92,A102,A121,A143,A151,A173,1,1,-0.90460431535554,-0.4038024465848421,-0.8701833340815202,0.1405047057619635,-0.7516416709837335,1.0270789116578083,-0.4282895663715403,1
807,A14,A34,A43,A65,A75,A93,A101,A121,A143,A152,A173,1,0,-0.738667542842371,-0.8298433791874485,0.9184771676276684,1.0469866784197936,2.5905515770132093,4.4910887317515975,-0.4282895663715403,1
908,A14,A33,A41,A61,A72,A92,A101,A122,A143,A152,A172,1,0,-0.4897623840726178,0.11439376262065765,-1.7645135849361149,-0.7659772668958666,0.919454953014738,1.0270789116578083,-0.4282895663715403,1
894,A14,A34,A43,A65,A73,A93,A101,A122,A143,A152,A173,0,0,-0.2408572253028645,-0.7451314133870967,0.9184771676276684,0.1405047057619635,-0.5757367631944207,1.0270789116578083,-0.4282895663715403,1
776,A14,A34,A40,A61,A74,A93,A101,A123,A143,A152,A173,0,0,1.2525737273156552,0.09348160369923188,0.9184771676276684,1.0469866784197936,0.12788286796283044,1.0270789116578083,-0.4282895663715403,1
247,A14,A30,A40,A62,A73,A93,A101,A124,A141,A151,A173,1,1,-1.2364778603818776,-0.7327258953828609,0.9184771676276684,-1.6724592395536968,-0.048022039826482336,-0.7049259983890862,-0.4282895663715403,1
986,A13,A30,A49,A61,A72,A91,A101,A122,A143,A152,A173,1,0,1.7503840448551615,1.0696186489468011,-0.8701833340815202,-1.6724592395536968,-0.22392694761579512,1.0270789116578083,-0.4282895663715403,0
98,A12,A34,A43,A61,A75,A93,A101,A121,A143,A152,A173,1,0,1.2525737273156552,-0.3311415554171763,0.9184771676276684,1.0469866784197936,0.03993041406817406,-0.7049259983890862,-0.4282895663715403,1
224,A14,A32,A41,A61,A73,A93,A101,A123,A143,A152,A173,0,0,-0.4897623840726178,0.4911670665778712,0.024146916773074168,-0.7659772668958666,-0.4877843092997643,-0.7049259983890862,-0.4282895663715403,1
223,A14,A33,A49,A65,A73,A93,A101,A121,A143,A152,A173,0,0,0.2569530922366421,-0.10394335425388944,0.9184771676276684,1.0469866784197936,-0.3118794015104515,1.0270789116578083,2.3348689263480744,1
905,A11,A32,A43,A61,A73,A93,A101,A121,A143,A151,A174,0,0,-0.738667542842371,-0.7671069024231713,-0.8701833340815202,-0.7659772668958666,-1.3673088482463285,-0.7049259983890862,2.3348689263480744,1
51,A12,A33,A41,A61,A75,A93,A101,A123,A143,A152,A174,0,0,0.5058582510063954,0.9547789965647342,-1.7645135849361149,-0.7659772668958666,-0.4877843092997643,1.0270789116578083,-0.4282895663715403,1
591,A12,A33,A40,A65,A73,A92,A101,A123,A143,A151,A173,0,0,0.2569530922366421,-0.4629944896336235,0.9184771676276684,1.0469866784197936,0.5676451374361124,1.0270789116578083,-0.4282895663715403,0
738,A14,A34,A40,A61,A74,A93,A101,A124,A143,A152,A174,0,0,-1.2364778603818776,1.2369159203182074,-1.7645135849361149,0.1405047057619635,0.8315024991200816,1.0270789116578083,2.3348689263480744,1
838,A11,A34,A41,A61,A75,A93,A101,A122,A143,A152,A173,0,0,0.2569530922366421,-0.1113866650564308,0.9184771676276684,1.0469866784197936,2.4146466692238966,1.0270789116578083,-0.4282895663715403,1
893,A12,A34,A41,A61,A73,A93,A101,A123,A143,A152,A173,0,0,1.2525737273156552,0.8962958402590521,0.024146916773074168,1.0469866784197936,-0.13597449372113873,1.0270789116578083,-0.4282895663715403,1
243,A14,A34,A49,A61,A73,A92,A101,A121,A143,A152,A173,1,0,-0.738667542842371,-0.7394603194423033,0.024146916773074168,-0.7659772668958666,-0.7516416709837335,1.0270789116578083,-0.4282895663715403,1
820,A14,A32,A40,A61,A73,A94,A101,A121,A143,A152,A173,0,0,-0.738667542842371,-0.7692335626524688,0.024146916773074168,-0.7659772668958666,-0.7516416709837335,1.0270789116578083,-0.4282895663715403,1
109,A12,A32,A49,A63,A75,A94,A101,A121,A143,A152,A173,0,0,-0.5727307703292022,-0.6597105608436457,-1.7645135849361149,-0.7659772668958666,-0.048022039826482336,-0.7049259983890862,-0.4282895663715403,1
384,A14,A33,A49,A62,A73,A93,A101,A122,A143,A152,A172,1,0,0.7547634097761486,0.3547063685312793,-0.8701833340815202,-0.7659772668958666,-0.8395941248783899,1.0270789116578083,-0.4282895663715403,1
762,A11,A32,A43,A61,A73,A93,A101,A122,A143,A152,A172,1,0,-0.738667542842371,-0.37473809011777576,0.9184771676276684,0.1405047057619635,-1.0154990326677027,-0.7049259983890862,-0.4282895663715403,1
518,A11,A32,A40,A62,A75,A93,A101,A122,A143,A152,A173,0,0,-1.2364778603818776,-0.7330803387544107,0.024146916773074168,-0.7659772668958666,0.6555975913307688,-0.7049259983890862,-0.4282895663715403,1
158,A12,A32,A40,A62,A74,A93,A101,A123,A141,A152,A173,0,0,0.2569530922366421,0.08532940615359133,-0.8701833340815202,0.1405047057619635,0.21583532185748688,1.0270789116578083,-0.4282895663715403,0
744,A11,A34,A42,A65,A74,A93,A101,A122,A143,A152,A174,0,0,1.5014788860854085,3.8661768504730616,0.9184771676276684,1.0469866784197936,-0.4877843092997643,1.0270789116578083,-0.4282895663715403,1
114,A11,A32,A43,A63,A75,A94,A101,A121,A143,A152,A173,1,0,-0.738667542842371,-0.5640108505252565,0.024146916773074168,-1.6724592395536968,-0.048022039826482336,-0.7049259983890862,-0.4282895663715403,1
984,A14,A34,A42,A61,A74,A93,A101,A122,A143,A152,A172,1,0,0.2569530922366421,-0.4406645572259994,-0.8701833340815202,-0.7659772668958666,-0.4877843092997643,1.0270789116578083,-0.4282895663715403,1
410,A12,A32,A43,A61,A75,A92,A101,A123,A143,A152,A173,0,0,0.2569530922366421,-0.4622856028905243,0.9184771676276684,1.0469866784197936,-1.3673088482463285,-0.7049259983890862,-0.4282895663715403,1
253,A14,A33,A42,A62,A73,A93,A101,A122,A143,A152,A173,1,0,0.2569530922366421,0.31181872057377896,-0.8701833340815202,0.1405047057619635,-0.048022039826482336,1.0270789116578083,-0.4282895663715403,1
8,A14,A32,A43,A64,A74,A91,A101,A121,A143,A152,A172,1,0,-0.738667542842371,-0.07523344115837269,-0.8701833340815202,1.0469866784197936,2.238741761434584,-0.7049259983890862,-0.4282895663715403,1
573,A11,A32,A49,A61,A73,A92,A101,A122,A143,A152,A172,1,0,-0.4897623840726178,-0.8737943572595976,0.9184771676276684,1.0469866784197936,-1.1914039404570154,-0.7049259983890862,-0.4282895663715403,1
136,A14,A33,A41,A64,A73,A93,A101,A123,A143,A152,A173,1,0,0.5058582510063954,1.8933450444280469,-0.8701833340815202,-0.7659772668958666,-0.7516416709837335,1.0270789116578083,-0.4282895663715403,1
469,A14,A33,A41,A61,A74,A93,A101,A123,A143,A152,A172,0,0,0.2569530922366421,0.4989648207519622,0.024146916773074168,0.1405047057619635,-0.048022039826482336,1.0270789116578083,-0.4282895663715403,1
962,A14,A32,A40,A65,A73,A93,A101,A124,A143,A152,A173,1,0,-0.4897623840726178,0.10092491450177328,0.024146916773074168,-0.7659772668958666,-0.5757367631944207,-0.7049259983890862,-0.4282895663715403,1
833,A12,A32,A43,A65,A75,A92,A101,A123,A143,A152,A173,0,0,0.2569530922366421,0.6425143862295459,-0.8701833340815202,1.0469866784197936,0.5676451374361124,-0.7049259983890862,-0.4282895663715403,1
550,A14,A34,A45,A65,A74,A92,A101,A121,A143,A152,A173,1,0,-0.738667542842371,-0.8064501166651756,0.9184771676276684,1.0469866784197936,-1.1034514865623593,1.0270789116578083,-0.4282895663715403,1
86,A12,A34,A42,A61,A72,A92,A101,A122,A143,A152,A173,1,0,-0.2408572253028645,-0.7004715485718485,0.9184771676276684,-1.6724592395536968,-0.7516416709837335,1.0270789116578083,-0.4282895663715403,1
