,0,1,2,3,4,5,6,7,8,output
448,o,b,x,b,x,o,x,o,x,1
486,b,x,x,o,x,o,o,x,b,1
215,x,o,b,o,b,o,x,x,x,1
212,x,o,b,o,x,b,o,x,x,1
481,o,b,b,o,b,b,x,x,x,1
503,b,x,o,o,x,o,x,x,b,1
163,x,o,o,x,b,x,x,o,b,1
77,x,x,x,b,b,b,b,o,o,1
528,b,o,x,x,x,x,b,o,o,1
145,x,o,o,x,x,x,o,x,o,1
265,x,b,o,o,x,b,b,b,x,1
31,x,x,x,o,o,b,b,x,o,1
55,x,x,x,b,o,x,b,o,o,1
90,x,x,o,o,x,o,b,x,b,1
558,b,o,x,b,o,x,b,b,x,1
76,x,x,x,b,b,b,o,b,o,1
2,x,x,x,x,o,o,o,o,x,1
369,o,o,x,x,x,x,b,o,b,1
396,o,o,x,b,x,o,x,x,b,1
286,x,b,b,o,x,x,o,o,x,1
131,x,o,x,o,x,b,b,o,x,1
148,x,o,o,x,x,x,b,o,b,1
49,x,x,x,o,b,b,b,b,o,1
622,b,b,b,x,x,x,b,o,o,1
438,o,b,x,o,x,b,x,b,b,1
110,x,x,b,o,x,b,o,o,x,1
257,x,b,o,x,b,b,x,o,b,1
579,b,o,b,x,x,x,o,b,b,1
621,b,b,b,x,x,x,o,b,o,1
256,x,b,o,x,b,o,x,b,b,1
334,o,x,o,o,o,x,x,x,x,1
261,x,b,o,o,x,o,x,b,x,1
184,x,o,o,b,x,b,b,b,x,1
463,o,b,o,x,x,x,b,o,x,1
132,x,o,x,o,o,x,o,x,x,1
488,b,x,x,o,x,b,x,o,o,1
335,o,x,o,o,b,b,x,x,x,1
613,b,b,o,x,x,x,b,b,o,1
181,x,o,o,b,x,o,b,x,x,1
600,b,b,x,o,b,x,o,b,x,1
352,o,x,b,o,x,o,x,x,b,1
39,x,x,x,o,b,o,o,x,b,1
86,x,x,o,o,x,x,o,x,o,1
609,b,b,o,x,x,x,o,x,o,1
318,o,x,o,x,x,x,x,o,o,1
208,x,o,b,o,x,x,b,o,x,1
260,x,b,o,o,x,x,b,o,x,1
393,o,o,x,b,x,x,x,b,o,1
78,x,x,o,x,x,o,o,o,x,1
367,o,o,x,x,x,x,o,o,x,1
557,b,o,x,b,o,x,o,x,x,1
