,0,1,2,3,4,5,6,7,8,output
23,x,x,x,o,o,x,o,o,x,1
163,x,o,o,x,b,x,x,o,b,1
493,b,x,x,b,x,o,x,o,o,1
580,b,o,b,x,x,x,b,o,b,1
383,o,o,x,o,x,x,x,b,b,1
75,x,x,x,b,b,b,o,o,b,1
375,o,o,x,x,x,b,x,b,o,1
249,x,b,o,x,o,o,x,x,b,1
145,x,o,o,x,x,x,o,x,o,1
581,b,o,b,x,x,x,b,b,o,1
320,o,x,o,x,x,x,o,o,x,1
275,x,b,b,x,x,o,x,o,o,1
368,o,o,x,x,x,x,o,b,b,1
559,b,o,x,b,o,o,x,x,x,1
196,x,o,b,x,o,x,x,b,o,1
93,x,x,o,o,x,b,o,b,x,1
0,x,x,x,x,o,o,x,o,o,1
76,x,x,x,b,b,b,o,b,o,1
140,x,o,x,b,x,b,x,o,o,1
438,o,b,x,o,x,b,x,b,b,1
278,x,b,b,x,o,o,x,x,o,1
286,x,b,b,o,x,x,o,o,x,1
118,x,o,x,x,b,o,x,o,b,1
536,b,o,x,o,x,x,o,b,x,1
546,b,o,x,o,b,x,x,o,x,1
208,x,o,b,o,x,x,b,o,x,1
311,o,x,x,b,x,o,o,x,b,1
265,x,b,o,o,x,b,b,b,x,1
334,o,x,o,o,o,x,x,x,x,0
365,o,o,x,x,x,x,x,o,o,1
420,o,o,b,b,o,x,x,x,x,1
463,o,b,o,x,x,x,b,o,x,1
437,o,b,x,o,x,b,x,o,x,1
618,b,b,o,b,o,b,x,x,x,1
110,x,x,b,o,x,b,o,o,x,1
470,o,b,o,b,o,x,x,x,x,0
396,o,o,x,b,x,o,x,x,b,1
158,x,o,o,x,o,x,x,x,o,1
495,b,x,x,b,o,x,o,o,x,1
399,o,o,x,b,x,b,x,o,x,1
211,x,o,b,o,x,b,x,o,x,1
274,x,b,o,b,o,o,x,x,x,1
513,b,x,o,b,x,b,o,x,b,1
209,x,o,b,o,x,o,x,b,x,1
417,o,o,b,o,x,b,x,x,x,1
2,x,x,x,x,o,o,o,o,x,1
451,o,b,x,b,x,b,x,b,o,1
188,x,o,b,x,x,x,o,b,o,1
153,x,o,o,x,x,o,b,b,x,1
181,x,o,o,b,x,o,b,x,x,1
291,x,b,b,o,x,b,b,o,x,1
165,x,o,o,x,b,o,x,x,b,1
563,b,o,o,x,x,x,x,b,o,1
499,b,x,o,x,x,o,o,x,b,1
612,b,b,o,x,x,x,b,o,b,1
56,x,x,x,b,o,o,x,o,b,1
264,x,b,o,o,x,b,o,x,x,1
68,x,x,x,b,o,b,b,b,o,1
449,o,b,x,b,x,o,x,b,b,1
116,x,o,x,x,o,o,x,b,b,1
292,x,b,b,b,x,o,o,b,x,1
287,x,b,b,o,x,o,x,o,x,1
227,x,b,x,o,x,o,x,o,b,1
199,x,o,b,x,o,b,x,x,o,1
