,0,1,2,3,output
13,-1.8700241338470192,-0.12495760117130933,-1.5118695167275884,-1.4444496972795189,0
39,-0.9006811702978088,0.8006542593569032,-1.284406700770579,-1.3129767272601454,0
30,-1.2641847816287624,0.10644536396074404,-1.2275409967813269,-1.3129767272601454,0
45,-1.2641847816287624,-0.12495760117130933,-1.3412724047598314,-1.1815037572407716,0
17,-0.9006811702978088,1.0320572244889563,-1.3412724047598314,-1.1815037572407716,0
63,0.3109975341387041,-0.3563605663033627,0.5352958268854957,0.2646989129723388,1
89,-0.4160096885232032,-1.2819724268315749,0.13723589896072927,0.13322594295296525,1
80,-0.4160096885232032,-1.5133753919636286,0.023504490982224492,-0.12971999708578205,1
95,-0.1736739476359004,-0.12495760117130933,0.25096730693923397,0.001752972933591456,1
67,-0.05250607719224957,-0.8191664965674684,0.19410160294998136,-0.2611929671051558,1
113,-0.1736739476359004,-1.2819724268315749,0.7058929388532527,1.053536733088581,1
139,1.2803404976879151,0.10644536396074404,0.933355754810262,1.1850097031079547,1
130,1.886179849906172,-0.587763531435416,1.331415682735028,0.9220637630692072,1
145,1.0380047568006123,-0.12495760117130933,0.8196243468317573,1.4479556431467018,1
117,2.249683461237125,1.7262661198851157,1.6726099066705424,1.3164826731273285,1
