,0_1,0_2,0_3,0_4,0_5,1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,2_4,2_5,3_1,3_2,3_3,3_4,3_5,output
156,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
572,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
598,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
564,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
208,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
49,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
221,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
469,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
46,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
267,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
10,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
53,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
257,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
94,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
292,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
379,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
37,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
146,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
544,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
65,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
348,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
6,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
383,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
398,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
92,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
516,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
108,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
143,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
574,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
89,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
439,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
188,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
197,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
141,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
225,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
450,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
589,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
211,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
478,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
100,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
226,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
465,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
304,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
492,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
545,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
200,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
362,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
615,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
237,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
533,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
76,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
551,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
565,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
302,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
