,0_high,0_low,0_med,0_vhigh,1_high,1_low,1_med,1_vhigh,2_2,2_3,2_4,2_5more,3_2,3_4,3_more,4_big,4_med,4_small,5_high,5_low,5_med,output
101,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1
504,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1
352,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1
109,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1
812,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1
1275,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1
235,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1
49,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1
1428,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1
1681,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
1197,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1
1365,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1
155,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1
670,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1
1176,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1
78,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1
294,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1
208,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1
251,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
712,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1
128,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1
1173,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1
1383,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1
439,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1
942,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1
1044,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1
174,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
481,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1
709,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
663,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1
926,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1
452,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1
994,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1
384,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
483,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1
1707,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1
1569,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1
44,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1
1384,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1
705,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1
1401,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1
765,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1
602,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
158,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1
1379,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1
76,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1
876,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1
70,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1
1709,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1
1089,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1
168,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
318,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1
625,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
1190,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1
919,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1
901,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1
23,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1
685,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1
507,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
123,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1
